batch_id,execution_order,batch_position,capability_id,capability_name,p0_signature,service_gap,endpoint_gap,real_data_gap,remaining_gaps,passed_dimension_count,existing_coverage_state,data_state,remediation_action,closure_condition,human_confirmation_required
B15_SERVICE_ONLY,15,1,CAP-B7B141CE6F45,Activate Subscription,SERVICE_ONLY,true,false,false,SERVICE|UI,5,UI_PARTIAL,REAL_LIVE,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,2,CAP-C60CD9D10164,Telegram Routing Internal,SERVICE_ONLY,true,false,false,SERVICE|UI,5,API_CONNECTED,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,3,CAP-C85D75362012,Admin Only,SERVICE_ONLY,true,false,false,SERVICE|UI,5,UI_PARTIAL,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,4,CAP-CAD48928C8E4,Telegram Routing V2,SERVICE_ONLY,true,false,false,SERVICE|UI,5,API_CONNECTED,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,5,CAP-CF000A7305E2,Subscription Status Compat,SERVICE_ONLY,true,false,false,SERVICE|UI,5,UI_PARTIAL,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,6,CAP-E668719D9AD9,Alert Prefs Get,SERVICE_ONLY,true,false,false,SERVICE|UI,5,UI_PARTIAL,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,7,CAP-EBD64BBF9712,Ndsp Build Otp Auth Uri,SERVICE_ONLY,true,false,false,SERVICE|UI,5,UI_PARTIAL,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,8,CAP-EEDDE460DD9C,Health,SERVICE_ONLY,true,false,false,SERVICE|CALCULATION,5,UI_PARTIAL,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,9,CAP-F14BB07445FB,Admin Key Ok,SERVICE_ONLY,true,false,false,SERVICE|UI,5,UI_PARTIAL,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,10,CAP-F4B0061B6EC3,Version,SERVICE_ONLY,true,false,false,SERVICE|CALCULATION,5,UI_PARTIAL,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,11,CAP-F54EAA1EFDDA,Admin Key Ok,SERVICE_ONLY,true,false,false,SERVICE|UI,5,UI_PARTIAL,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,12,CAP-F5C8984FC6A0,About,SERVICE_ONLY,true,false,false,SERVICE|CALCULATION,5,UI_PARTIAL,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,13,CAP-F5E96763B830,Debug Auth,SERVICE_ONLY,true,false,false,SERVICE|UI,5,UI_PARTIAL,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,14,CAP-FBE70B1294BC,Telegram Routing Admin,SERVICE_ONLY,true,false,false,SERVICE|UI,5,API_CONNECTED,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,15,CAP-033B90B3A316,Nowpayments Create Alias,SERVICE_ONLY,true,false,false,SERVICE,6,API_CONNECTED,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,16,CAP-22453668AACA,Telegram Routing V2,SERVICE_ONLY,true,false,false,SERVICE,6,API_CONNECTED,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,17,CAP-29DCBEF0D49C,Ndsp Nowpayments,SERVICE_ONLY,true,false,false,SERVICE,6,API_CONNECTED,REAL_LIVE,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,18,CAP-329C5FE62399,Nowpayments Create Alias,SERVICE_ONLY,true,false,false,SERVICE,6,API_CONNECTED,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,19,CAP-3F820FC0AC86,Ndsp User Portal Final Experience V1 One Script,SERVICE_ONLY,true,false,false,SERVICE,6,UI_PARTIAL,REAL_LIVE,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,20,CAP-3F9549B2B851,User Operational Compat,SERVICE_ONLY,true,false,false,SERVICE,6,API_CONNECTED,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,21,CAP-425426D4A96B,User Operational Compat,SERVICE_ONLY,true,false,false,SERVICE,6,API_CONNECTED,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,22,CAP-4515D5FBBBF3,Framework Adapter,SERVICE_ONLY,true,false,false,SERVICE,6,UI_PARTIAL,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,23,CAP-45BEE5E5B9D6,Telegram Routing V2,SERVICE_ONLY,true,false,false,SERVICE,6,API_CONNECTED,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,24,CAP-461745E841AB,Ndsp Trial Info,SERVICE_ONLY,true,false,false,SERVICE,6,API_CONNECTED,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
B15_SERVICE_ONLY,15,25,CAP-48F24BF885D7,User Operational Compat,SERVICE_ONLY,true,false,false,SERVICE,6,API_CONNECTED,REAL_SNAPSHOT,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,true
