unit,load,active,sub,description
accounts-daemon.service,loaded,active,running,Accounts Service
alsa-restore.service,loaded,inactive,dead,Save/Restore Sound Card State
alsa-state.service,loaded,inactive,dead,Manage Sound Card State (restore and store)
apparmor.service,loaded,active,exited,Load AppArmor profiles
apport-autoreport.service,loaded,inactive,dead,Process error reports when automatic reporting is enabled
apport.service,loaded,active,exited,automatic crash report generation
apt-daily-upgrade.service,loaded,inactive,dead,Daily apt upgrade and clean activities
apt-daily.service,loaded,inactive,dead,Daily apt download activities
●,auditd.service,not-found,inactive,dead    auditd.service
●,auto-cpufreq.service,not-found,inactive,dead    auto-cpufreq.service
avahi-daemon.service,loaded,active,running,Avahi mDNS/DNS-SD Stack
blk-availability.service,loaded,active,exited,Availability of block devices
certbot.service,loaded,inactive,dead,Certbot
cloud-init-local.service,loaded,inactive,dead,Cloud-init: Local Stage (pre-network)
●,connman.service,not-found,inactive,dead    connman.service
●,console-screen.service,not-found,inactive,dead    console-screen.service
console-setup.service,loaded,active,exited,Set console font and keymap
containerd.service,loaded,active,running,containerd container runtime
cron.service,loaded,active,running,Regular background program processing daemon
cups-browsed.service,loaded,active,running,Make remote CUPS printers available locally
cups.service,loaded,active,running,CUPS Scheduler
dbus.service,loaded,active,running,D-Bus System Message Bus
●,decision-intelligence-dashboard.service,not-found,inactive,dead    decision-intelligence-dashboard.service
dm-event.service,loaded,inactive,dead,Device-mapper event daemon
dmesg.service,loaded,inactive,dead,Save initial kernel messages after boot
docker.service,loaded,active,running,Docker Application Container Engine
dpkg-db-backup.service,loaded,inactive,dead,Daily dpkg database backup service
e2scrub_all.service,loaded,inactive,dead,Online ext4 Metadata Check for All Filesystems
e2scrub_reap.service,loaded,inactive,dead,Remove Stale Online ext4 Metadata Check Snapshots
emergency.service,loaded,inactive,dead,Emergency Shell
●,empire-py-admin.service,not-found,inactive,dead    empire-py-admin.service
●,empire-py-api-app.service,not-found,inactive,dead    empire-py-api-app.service
●,empire-py-ndip-core-api.service,not-found,inactive,dead    empire-py-ndip-core-api.service
●,empire-py-ndip-core-backend-app-backend-app.service,not-found,inactive,dead    empire-py-ndip-core-backend-app-backend-app.service
●,empire-py-ndip-core-backend-app.service,not-found,inactive,dead    empire-py-ndip-core-backend-app.service
●,empire-web-ndip-frontend.service,not-found,inactive,dead    empire-web-ndip-frontend.service
●,exim4.service,not-found,inactive,dead    exim4.service
fail2ban.service,loaded,active,running,Fail2Ban Service
●,fcoe.service,not-found,inactive,dead    fcoe.service
finalrd.service,loaded,active,exited,Create final runtime dir for shutdown pivot root
●,firewalld.service,not-found,inactive,dead    firewalld.service
fstrim.service,loaded,inactive,dead,Discard unused blocks on filesystems from /etc/fstab
fwupd-refresh.service,loaded,inactive,dead,Refresh fwupd metadata and update motd
fwupd.service,loaded,active,running,Firmware update daemon
getty-static.service,loaded,inactive,dead,getty on tty2-tty6 if dbus and logind are not available
getty@tty1.service,loaded,inactive,dead,Getty on tty1
gpu-manager.service,loaded,inactive,dead,Detect the available GPUs and deal with any system changes
grub-common.service,loaded,inactive,dead,Record successful boot for GRUB
grub-initrd-fallback.service,loaded,inactive,dead,GRUB failed boot detection
●,hv_kvp_daemon.service,not-found,inactive,dead    hv_kvp_daemon.service
initrd-cleanup.service,loaded,inactive,dead,Cleaning Up and Shutting Down Daemons
initrd-parse-etc.service,loaded,inactive,dead,Mountpoints Configured in the Real Root
initrd-switch-root.service,loaded,inactive,dead,Switch Root
initrd-udevadm-cleanup-db.service,loaded,inactive,dead,Cleanup udev Database
●,ip6tables.service,not-found,inactive,dead    ip6tables.service
●,ipset.service,not-found,inactive,dead    ipset.service
●,iptables.service,not-found,inactive,dead    iptables.service
