record_id,protocol,bind_address,port,pid,process_name,executable,command_line,working_directory,systemd_unit,observed_component,ownership_category,current_owner,proposed_decision,decision_confidence,decision_reason,runtime_state,network_binding,source_pr,review_status,notes
PR007-001,tcp,0.0.0.0,3000,2978998,node,/usr/bin/nsolid,node server.js,/home/nawaf511/empire-core-new,pm2-nawaf511.service,pm2-nawaf511,NON_CANONICAL_APPLICATION,nawaf511,SHARED_INFRASTRUCTURE,GOVERNANCE_APPROVED,PM2 supervisor represents shared application hosting infrastructure.,OBSERVED_RUNNING,NETWORK_EXPOSED,PR-006,RESOLVED,"Governance ownership decision approved in PR-007. No service, process, configuration, firewall, proxy, deployment, or application change was performed."
PR007-002,tcp,127.0.0.1,8097,2498028,node,/usr/bin/nsolid,/usr/bin/node /opt/ndsp-news-ticker/server.js,/opt/ndsp-news-ticker,ndsp-news-ticker.service,ndsp-news-ticker,NON_CANONICAL_APPLICATION,NDSP platform,PROMOTE_TO_CANONICAL,MEDIUM,Observed managed NDSP runtime with an identifiable supervisor and source path.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-003,tcp,127.0.0.1,9001,2498048,node,/usr/bin/nsolid,/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/ndsp_platform_gateway_9001.cjs,/home/nawaf511/empire-core-new/backend/auth_api,ndsp-platform-gateway.service,ndsp-platform-gateway,NON_CANONICAL_APPLICATION,nawaf511,SHARED_INFRASTRUCTURE,MEDIUM,Component appears to provide a shared platform capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-004,tcp,127.0.0.1,9002,2978585,python3,,/usr/bin/python3 /opt/ndsp-platform-gateway-9002/app.py,,ndsp-platform-gateway-9002.service,ndsp-platform-gateway-9002,NON_CANONICAL_APPLICATION,NDSP platform,SHARED_INFRASTRUCTURE,MEDIUM,Component appears to provide a shared platform capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-005,tcp,127.0.0.1,9017,2497900,node,,/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/ndsp_admin_actions_gateway.cjs,,ndsp-admin-actions.service,ndsp-admin-actions,NON_CANONICAL_APPLICATION,nawaf511,SHARED_INFRASTRUCTURE,MEDIUM,Component appears to provide a shared platform capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-006,tcp,127.0.0.1,9019,2498152,node,,/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/ndsp_trial_register_gateway.cjs,,ndsp-trial-register.service,ndsp-trial-register,NON_CANONICAL_APPLICATION,nawaf511,SHARED_INFRASTRUCTURE,MEDIUM,Component appears to provide a shared platform capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-007,tcp,127.0.0.1,9021,2498162,node,,/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/ndsp_user_dashboard_gateway.cjs,,ndsp-user-dashboard.service,ndsp-user-dashboard,NON_CANONICAL_APPLICATION,nawaf511,SHARED_INFRASTRUCTURE,MEDIUM,Component appears to provide a shared platform capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-008,tcp,127.0.0.1,9022,2497947,node,,/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/ndsp_api_compat_gateway.cjs,,ndsp-api-compat.service,ndsp-api-compat,NON_CANONICAL_APPLICATION,nawaf511,SHARED_INFRASTRUCTURE,MEDIUM,Component appears to provide a shared platform capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-009,tcp,127.0.0.1,9023,2497902,node,,/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/ndsp_admin_ui_proxy.cjs,,ndsp-admin-ui-proxy.service,ndsp-admin-ui-proxy,NON_CANONICAL_APPLICATION,nawaf511,SHARED_INFRASTRUCTURE,MEDIUM,Component appears to provide a shared platform capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-010,tcp,127.0.0.1,9024,2497888,node,/usr/bin/nsolid,/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp-access-guard-9024/server.js,/home/nawaf511/empire-core-new/backend/ndsp-access-guard-9024,ndsp-access-guard-9024.service,ndsp-access-guard-9024,NON_CANONICAL_APPLICATION,nawaf511,PROMOTE_TO_CANONICAL,MEDIUM,Observed managed NDSP runtime with an identifiable supervisor and source path.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
