service_id,status,canonical_entrypoint,service_name,service_type,verified_listener_ports,listener_environment_variables,referenced_ports,systemd_unit,evidence_files,owner,runtime_owner,exposure,notes
bot-execution,PORT_VERIFICATION_REQUIRED,backend/services/bot_execution/main.cjs,bot-execution,node-http-service,,,9078,backend/services/bot_execution/systemd/ndsp-bot_execution.service,backend/services/bot_execution/main.cjs;backend/services/bot_execution/systemd/ndsp-bot_execution.service,TBD,TBD,TBD,Additional referenced ports are not treated as listener ports. Additional port-like environment variables require manual review: NDSP_BOT_EXECUTION_PORT. No direct listener expression was confirmed.
completed-decision,PORT_VERIFICATION_REQUIRED,backend/services/completed_decision/main.cjs,completed-decision,node-http-service,,,,backend/services/completed_decision/systemd/ndsp-completed_decision.service,backend/services/completed_decision/main.cjs;backend/services/completed_decision/systemd/ndsp-completed_decision.service,TBD,TBD,TBD,Additional port-like environment variables require manual review: NDSP_COMPLETED_DECISION_PORT. No direct listener expression was confirmed.
decision-governance-core,PORT_VERIFICATION_REQUIRED,backend/services/decision_governance_core/main.cjs,decision-governance-core,node-http-service,,,9078,backend/services/decision_governance_core/systemd/ndsp-decision_governance_core.service,backend/services/decision_governance_core/main.cjs;backend/services/decision_governance_core/systemd/ndsp-decision_governance_core.service,TBD,TBD,TBD,Additional referenced ports are not treated as listener ports. Additional port-like environment variables require manual review: NDSP_GOVERNANCE_PORT. No direct listener expression was confirmed.
ndsp-launch-control-v167,PORT_VERIFICATION_REQUIRED,backend/services/ndsp-launch-control-v167/server.py,ndsp-launch-control-v167,application-service,,,9001;9020;9028,,backend/services/ndsp-launch-control-v167/server.py,TBD,TBD,TBD,Additional referenced ports are not treated as listener ports. No direct listener expression was confirmed.
ndsp-layers-api,PORT_VERIFICATION_REQUIRED,apps/ndsp-layers-api/app.py,ndsp-layers-api,python-http-service,,,9057;9076,,apps/ndsp-layers-api/app.py,TBD,TBD,TBD,Additional referenced ports are not treated as listener ports. No direct listener expression was confirmed.
ndsp-live-decision-quality,REVIEW_REQUIRED,backend/ndsp-live-decision-quality/server.py,ndsp-live-decision-quality,python-http-service,9057,,,,backend/ndsp-live-decision-quality/server.py,TBD,TBD,TBD,Literal listener configuration detected.
ndsp-platform-backend,PORT_VERIFICATION_REQUIRED,backend/server.js,ndsp-platform-backend,node-http-service,,,,,backend/server.js,TBD,TBD,TBD,"Additional port-like environment variables require manual review: AUTH_PORT, NDSP_AUTH_PORT. No direct listener expression was confirmed."
ndsp-trial-clock-v163,PORT_VERIFICATION_REQUIRED,backend/services/ndsp-trial-clock-v163/server.py,ndsp-trial-clock-v163,application-service,,,9001;9028,,backend/services/ndsp-trial-clock-v163/server.py,TBD,TBD,TBD,Additional referenced ports are not treated as listener ports. No direct listener expression was confirmed.
ndsp-trial-clock-v164,PORT_VERIFICATION_REQUIRED,backend/services/ndsp-trial-clock-v164/server.py,ndsp-trial-clock-v164,application-service,,,9001;9028,,backend/services/ndsp-trial-clock-v164/server.py,TBD,TBD,TBD,Additional referenced ports are not treated as listener ports. No direct listener expression was confirmed.
ndsp-trial-register-canonical-wrapper,PORT_VERIFICATION_REQUIRED,backend/ndsp-trial-register-canonical-wrapper/server.js,ndsp-trial-register-canonical-wrapper,node-http-service,,,9019,,backend/ndsp-trial-register-canonical-wrapper/server.js,TBD,TBD,TBD,Additional referenced ports are not treated as listener ports. No direct listener expression was confirmed.
ndsp-trial-seats-api,PORT_VERIFICATION_REQUIRED,backend/ndsp-trial-seats-api/server.js,ndsp-trial-seats-api,node-http-service,,,9064,,backend/ndsp-trial-seats-api/server.js,TBD,TBD,TBD,Additional referenced ports are not treated as listener ports. No direct listener expression was confirmed.
ndsp-user-alert-channels,PORT_VERIFICATION_REQUIRED,backend/ndsp-user-alert-channels/server.js,ndsp-user-alert-channels,node-http-service,,,9062,,backend/ndsp-user-alert-channels/server.js,TBD,TBD,TBD,Additional referenced ports are not treated as listener ports. Additional port-like environment variables require manual review: SMTP_PORT. No direct listener expression was confirmed.
password-reset-gateway,PORT_VERIFICATION_REQUIRED,backend/password_reset_gateway/server.js,password-reset-gateway,gateway,,,9027,,backend/password_reset_gateway/server.js,TBD,TBD,TBD,Additional referenced ports are not treated as listener ports. No direct listener expression was confirmed.
