service_id,canonical_entrypoint,classification,acceptance,confidence,matched_pids,tcp_listeners,udp_listeners,systemd_unit,systemd_load_state,systemd_active_state,systemd_sub_state,systemd_main_pid,systemd_exec_start,systemd_fragment_path,owner,runtime_owner,exposure,review_notes
bot-execution,backend/services/bot_execution/main.cjs,RUNNING,ACCEPTED_RUNNING,HIGH,2497949,127.0.0.1:9080,,ndsp-bot_execution.service,loaded,active,running,2497949,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/services/bot_execution/main.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/etc/systemd/system/ndsp-bot_execution.service,nawaf511,nawaf511,LOOPBACK_ONLY,"Exact entrypoint, PID, and listener evidence confirmed. Owner and runtime owner confirmed. Systemd MainPID matches strict runtime evidence."
completed-decision,backend/services/completed_decision/main.cjs,RUNNING,ACCEPTED_RUNNING,HIGH,2499820,127.0.0.1:9078,,ndsp-completed_decision.service,loaded,active,running,2499820,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/services/completed_decision/main.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/etc/systemd/system/ndsp-completed_decision.service,nawaf511,nawaf511,LOOPBACK_ONLY,"Exact entrypoint, PID, and listener evidence confirmed. Owner and runtime owner confirmed. Systemd MainPID matches strict runtime evidence."
decision-governance-core,backend/services/decision_governance_core/main.cjs,RUNNING,ACCEPTED_RUNNING,HIGH,2498024,127.0.0.1:9079,,ndsp-decision_governance_core.service,loaded,active,running,2498024,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/services/decision_governance_core/main.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/etc/systemd/system/ndsp-decision_governance_core.service,nawaf511,nawaf511,LOOPBACK_ONLY,"Exact entrypoint, PID, and listener evidence confirmed. Owner and runtime owner confirmed. Systemd MainPID matches strict runtime evidence."
ndsp-launch-control-v167,backend/services/ndsp-launch-control-v167/server.py,RUNNING,ACCEPTED_RUNNING,HIGH,2978939,127.0.0.1:9090,,,,,,0,,,nawaf511,nawaf511,LOOPBACK_ONLY,"Exact entrypoint, PID, and listener evidence confirmed. Owner and runtime owner confirmed."
ndsp-layers-api,apps/ndsp-layers-api/app.py,SOURCE_ONLY,ACCEPTED_SOURCE_ONLY,HIGH,,,,,,,,0,,,nawaf511,nawaf511,NONE,Canonical source exists without matching runtime evidence. Owner and runtime owner confirmed. Accepted as repository source without current runtime process.
ndsp-live-decision-quality,backend/ndsp-live-decision-quality/server.py,RUNNING,ACCEPTED_RUNNING,HIGH,2978652,127.0.0.1:9057,,,,,,0,,,nawaf511,nawaf511,LOOPBACK_ONLY,"Exact entrypoint, PID, and listener evidence confirmed. Owner and runtime owner confirmed."
ndsp-platform-backend,backend/server.js,SOURCE_ONLY,ACCEPTED_SOURCE_ONLY,HIGH,,,,,,,,0,,,nawaf511,nawaf511,NONE,Canonical source exists without matching runtime evidence. Owner and runtime owner confirmed. Accepted as repository source without current runtime process.
ndsp-trial-clock-v163,backend/services/ndsp-trial-clock-v163/server.py,SOURCE_ONLY,ACCEPTED_SOURCE_ONLY,HIGH,,,,,,,,0,,,nawaf511,nawaf511,NONE,Canonical source exists without matching runtime evidence. Owner and runtime owner confirmed. Accepted as repository source without current runtime process.
ndsp-trial-clock-v164,backend/services/ndsp-trial-clock-v164/server.py,RUNNING,ACCEPTED_RUNNING,HIGH,2978938,127.0.0.1:9089,,,,,,0,,,nawaf511,nawaf511,LOOPBACK_ONLY,"Exact entrypoint, PID, and listener evidence confirmed. Owner and runtime owner confirmed."
ndsp-trial-register-canonical-wrapper,backend/ndsp-trial-register-canonical-wrapper/server.js,RUNNING,ACCEPTED_RUNNING,HIGH,2498156,127.0.0.1:9041,,,,,,0,,,nawaf511,nawaf511,LOOPBACK_ONLY,"Exact entrypoint, PID, and listener evidence confirmed. Owner and runtime owner confirmed."
ndsp-trial-seats-api,backend/ndsp-trial-seats-api/server.js,RUNNING,ACCEPTED_RUNNING,HIGH,2498136,127.0.0.1:9064,,,,,,0,,,nawaf511,nawaf511,LOOPBACK_ONLY,"Exact entrypoint, PID, and listener evidence confirmed. Owner and runtime owner confirmed."
ndsp-user-alert-channels,backend/ndsp-user-alert-channels/server.js,RUNNING,ACCEPTED_RUNNING,HIGH,2498159,127.0.0.1:9062,,,,,,0,,,nawaf511,nawaf511,LOOPBACK_ONLY,"Exact entrypoint, PID, and listener evidence confirmed. Owner and runtime owner confirmed."
password-reset-gateway,backend/password_reset_gateway/server.js,RUNNING,ACCEPTED_RUNNING,HIGH,2498041,127.0.0.1:9027,,,,,,0,,,nawaf511,nawaf511,LOOPBACK_ONLY,"Exact entrypoint, PID, and listener evidence confirmed. Owner and runtime owner confirmed."
