priority,capability_id,capability_name,gap_type,recommended_screen,recommended_feature,source_or_algorithm,runtime_service,endpoint_or_contract,data_state,origin_classification,required_action,closure_status,closure_basis,confidence,next_action
P0_CRITICAL,CAP-235EF538DEF9,Auth Reset,DATA_STATE_UNVERIFIED,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py::auth_reset,DISCOVERY_REQUIRED,DELETE /ME/WATCHLIST/{ASSET_ID}|GET /ACCOUNT/TRIAL|GET /ADMIN/HEALTH|GET /ADMIN/LAYERS|GET /ADMIN/PAYMENTS|GET /ADMIN/REGISTRATIONS|GET /ADMIN/TRIALS|GET /ASSETS|GET /ASSETS/{ASSET_ID}/CHART|GET /ASSETS/{ASSET_ID}/DECISION|GET /AUTH/MAGIC-LINK/VERIFY|GET /BRIEF/TODAY|GET /CONTRACT/STATUS|GET /MARKETS|GET /ME/ALERT-PREFS|GET /ME/DASHBOARD|GET /ME/ENTITLEMENTS|GET /ME/SUBSCRIPTION|GET /ME/WATCHLIST|GET /PACKAGES|POST /ACCOUNT/ACTIVATE|POST /ADMIN/PAYMENTS/{PAYMENT_ID}/APPROVE|POST /ADMIN/PAYMENTS/{PAYMENT_ID}/REJECT|POST /ADMIN/REGISTRATIONS/{REGISTRATION_ID}/DECISION|POST /AUTH/2FA/VERIFY|POST /AUTH/FORGOT|POST /AUTH/LOGIN|POST /AUTH/MAGIC-LINK|POST /AUTH/REGISTER|POST /AUTH/RESET|POST /ME/CHANNELS/EMAIL/TEST|POST /ME/CHANNELS/TELEGRAM/LINK|POST /ME/CHANNELS/TELEGRAM/VERIFY|POST /ME/WATCHLIST|POST /PAYMENTS/CHECKOUT|POST /PAYMENTS/WEBHOOK|PUT /ME/ALERT-PREFS,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics,BLOCKED_MOCK_SIGNATURE_PRESENT,MOCK_SIGNATURE,HIGH,Human technical validation and explicit evidence approval
P0_CRITICAL,CAP-2CD69A7EA838,Frontend Contract,DATA_STATE_UNVERIFIED,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /AUTH/REGISTER,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics,BLOCKED_MOCK_SIGNATURE_PRESENT,MOCK_SIGNATURE,HIGH,Human technical validation and explicit evidence approval
P0_CRITICAL,CAP-C8C94E7A8122,Frontend Contract,DATA_STATE_UNVERIFIED,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /AUTH/LOGIN,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics,BLOCKED_MOCK_SIGNATURE_PRESENT,MOCK_SIGNATURE,HIGH,Human technical validation and explicit evidence approval
P0_CRITICAL,CAP-D0B86CD5E331,Frontend Contract,DATA_STATE_UNVERIFIED,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /AUTH/RESET,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics,BLOCKED_MOCK_SIGNATURE_PRESENT,MOCK_SIGNATURE,HIGH,Human technical validation and explicit evidence approval
P0_CRITICAL,CAP-862CD297F1FD,Frontend Contract,DATA_STATE_UNVERIFIED,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /AUTH/FORGOT,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics,BLOCKED_MOCK_SIGNATURE_PRESENT,MOCK_SIGNATURE,HIGH,Human technical validation and explicit evidence approval
P0_CRITICAL,CAP-2B9AC68DB1D6,Assert No Decision Mutation,DATA_STATE_UNVERIFIED,DECISION_ROOM,Decision intelligence workspace,backend/app/support_layers/scenario/scenario_engine.py::assert_no_decision_mutation,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics,BLOCKED_MOCK_SIGNATURE_PRESENT,MOCK_SIGNATURE,HIGH,Human technical validation and explicit evidence approval
P0_CRITICAL,CAP-3965B46743DE,Frontend Contract,DATA_STATE_UNVERIFIED,DECISION_ROOM,Decision intelligence workspace,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /ADMIN/REGISTRATIONS/{REGISTRATION_ID}/DECISION,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics,BLOCKED_MOCK_SIGNATURE_PRESENT,MOCK_SIGNATURE,HIGH,Human technical validation and explicit evidence approval
P0_CRITICAL,CAP-935E1E26D22F,Dqsrisk State,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/quality/decision_quality_stack.py::DQSRiskState,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics,BLOCKED_MOCK_SIGNATURE_PRESENT,MOCK_SIGNATURE,HIGH,Human technical validation and explicit evidence approval
P0_CRITICAL,CAP-B89CF4208B10,Grade From Score,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/quality/decision_quality_stack.py::_grade_from_score,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics,BLOCKED_MOCK_SIGNATURE_PRESENT,MOCK_SIGNATURE,HIGH,Human technical validation and explicit evidence approval
P0_CRITICAL,CAP-C84121300635,Tdl V2 Policy Admin,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,Decision quality and risk controls,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,ndsp-governance-bridge.service,POST /TIMING/ENABLE,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics,BLOCKED_MOCK_SIGNATURE_PRESENT,MOCK_SIGNATURE,HIGH,Human technical validation and explicit evidence approval
