capability_id,capability_name,machine_status,closure_decision,closure_reason,human_approval_required,ui_complete
CAP-235EF538DEF9,Auth Reset,INCOMPLETE_CHAIN,REMAINS_OPEN,Missing: TEST|UI_CONSUMER,true,false
CAP-2CD69A7EA838,Frontend Contract,INCOMPLETE_CHAIN,REMAINS_OPEN,Missing: REAL_DATA|TEST|UI_CONSUMER,true,false
CAP-C8C94E7A8122,Frontend Contract,INCOMPLETE_CHAIN,REMAINS_OPEN,Missing: REAL_DATA|TEST|UI_CONSUMER,true,false
CAP-D0B86CD5E331,Frontend Contract,INCOMPLETE_CHAIN,REMAINS_OPEN,Missing: REAL_DATA|TEST|UI_CONSUMER,true,false
CAP-862CD297F1FD,Frontend Contract,INCOMPLETE_CHAIN,REMAINS_OPEN,Missing: REAL_DATA|TEST|UI_CONSUMER,true,false
CAP-2B9AC68DB1D6,Assert No Decision Mutation,INCOMPLETE_CHAIN,REMAINS_OPEN,Missing: REAL_DATA|UI_CONSUMER,true,false
CAP-3965B46743DE,Frontend Contract,INCOMPLETE_CHAIN,REMAINS_OPEN,Missing: REAL_DATA|UI_CONSUMER,true,false
CAP-935E1E26D22F,Dqsrisk State,INCOMPLETE_CHAIN,REMAINS_OPEN,Missing: REAL_DATA|TEST|UI_CONSUMER,true,false
CAP-B89CF4208B10,Grade From Score,INCOMPLETE_CHAIN,REMAINS_OPEN,Missing: REAL_DATA|TEST|UI_CONSUMER,true,false
CAP-C84121300635,Tdl V2 Policy Admin,INCOMPLETE_CHAIN,REMAINS_OPEN,Missing: REAL_DATA|UI_CONSUMER,true,false
CAP-4FF90CCC6DFE,Tdl V2 Policy Admin,INCOMPLETE_CHAIN,REMAINS_OPEN,Missing: REAL_DATA|UI_CONSUMER,true,false
CAP-93DD0F3859D4,Tdl V2 Policy Admin,INCOMPLETE_CHAIN,REMAINS_OPEN,Missing: REAL_DATA|UI_CONSUMER,true,false
CAP-8A9DD9B6E7D5,Tdl V2 Policy Admin,INCOMPLETE_CHAIN,REMAINS_OPEN,Missing: REAL_DATA|UI_CONSUMER,true,false
CAP-AA4ECF6DF3F8,Tdl V2 Policy Admin,INCOMPLETE_CHAIN,REMAINS_OPEN,Missing: REAL_DATA|UI_CONSUMER,true,false
CAP-8BFCC7DDCBE0,Frontend Contract,INCOMPLETE_CHAIN,REMAINS_OPEN,Missing: REAL_DATA|TEST,true,false
CAP-F402D935EFF7,Frontend Contract,INCOMPLETE_CHAIN,REMAINS_OPEN,Missing: REAL_DATA|TEST,true,false
CAP-10D53C6D7918,Frontend Contract,INCOMPLETE_CHAIN,REMAINS_OPEN,Missing: REAL_DATA|TEST,true,false
CAP-9F3B6AAA223B,Frontend Contract,INCOMPLETE_CHAIN,REMAINS_OPEN,Missing: REAL_DATA|TEST,true,false
