semantic_cluster_id,representative_capability_id,capability_name,capability_kind,source_or_algorithm,source_exists_on_main,source_exists_locally,origin_classification,runtime_service,endpoint_or_contract,data_source,data_state,calculation_mode,recommended_feature,recommended_screen,recommended_components,recommended_roles,verification_status,verification_blockers,duplicate_candidate_count,duplicate_capability_ids,human_confirmation_required,full_power_preservation,verified_at
CLUSTER-00830B85A41852B9,CAP-D054F1321201,Ndsp User Login Gateway,API_ENDPOINT,backend/ndsp_user_login_gateway.cjs,true,true,ON_MAIN,ndsp-user-login.service,POST /API/AUTH/2FA/SETUP/CONFIRM-FINAL,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Authentication and account access,AUTHENTICATION,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow,PUBLIC|AUTHENTICATED_USER,PARTIALLY_VERIFIED,OWNER_UNASSIGNED,1,CAP-A294A80A744D,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-0328C106FF332C89,CAP-4B8CAC6792AE,Ndsp User Portal Final Experience V1 One Script,API_ENDPOINT,NDSP_USER_PORTAL_FINAL_EXPERIENCE_V1_ONE_SCRIPT.sh,false,true,UNTRACKED,DISCOVERY_REQUIRED,GET /API/USER/EXPERIENCE,HTTP_API|JSON|POSTGRES,REAL_LIVE,CALCULATED_REAL,Admin user management,ADMIN_USERS,UsersTable|UserDetailDrawer|RoleBadge|EntitlementPanel,ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-0412272E609423D6,CAP-B89CF4208B10,Grade From Score,ALGORITHM_OR_BUSINESS_LOGIC,backend/app/support_layers/quality/decision_quality_stack.py::_grade_from_score,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,UNKNOWN,DISCOVERY_REQUIRED,Decision quality and risk controls,QUALITY_AND_RISK,QualityScore|RiskPanel|ConfidenceGauge|GovernanceStatus,USER|ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|API_CONTRACT_UNVERIFIED|DATA_STATE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-04AE942A6CCB8C5A,CAP-329C5FE62399,Nowpayments Create Alias,API_ENDPOINT,backend/app/api/compat/nowpayments_create_alias.py,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,POST /API/V6/PAYMENTS/NOWPAYMENTS/SUBSCRIPTION/CREATE,JSON|POSTGRES,REAL_SNAPSHOT,CALCULATED_REAL,"Trial, plans, and billing",TRIAL_AND_BILLING,TrialCountdown|PlanComparison|UsageMeter|BillingStatus,USER|ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|OWNER_UNASSIGNED,1,CAP-5649C9641068,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-0510FC78E483B3D6,CAP-353E6D9C0A43,Ndsp User Login Gateway,API_ENDPOINT,backend/auth_api/ndsp_user_login_gateway.cjs,false,true,LOCAL_ONLY,ndsp-user-login.service,PUT /API/AUTH/PROFILE,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Platform operations and service health,PLATFORM_OPERATIONS,ServiceHealthGrid|RuntimeStatus|GatewayMonitor|BackupPanel,ADMIN,PARTIALLY_VERIFIED,OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-058EA84FFB96BD5C,CAP-B26FA1996A34,Ndsp User Login Gateway,API_ENDPOINT,backend/auth_api/ndsp_user_login_gateway.cjs,false,true,LOCAL_ONLY,ndsp-user-login.service,GET /API/AUTH/PROFILE,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Platform operations and service health,PLATFORM_OPERATIONS,ServiceHealthGrid|RuntimeStatus|GatewayMonitor|BackupPanel,ADMIN,PARTIALLY_VERIFIED,OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-065FF7E991FE7A36,CAP-F4D88C2A7931,Ndsp Admin Ui Proxy,API_ENDPOINT,backend/ndsp_admin_ui_proxy.cjs,true,true,ON_MAIN,ndsp-admin-ui-proxy.service,GET /API/ADMIN-UI/HEALTH,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Platform operations and service health,PLATFORM_OPERATIONS,ServiceHealthGrid|RuntimeStatus|GatewayMonitor|BackupPanel,ADMIN,PARTIALLY_VERIFIED,OWNER_UNASSIGNED,1,CAP-09B689D81772,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-0746027563B4F7CB,CAP-636B50FAED04,Frontend Contract,API_ENDPOINT,backend/app/api/v1/frontend_contract.py,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,GET /ME/DASHBOARD,UNKNOWN,UNKNOWN,CALCULATED_REAL,Unclassified platform capability,CAPABILITY_REVIEW,CapabilityInspector|EvidencePanel,ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|DATA_STATE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-075A9C033639FAC0,CAP-935E1E26D22F,Dqsrisk State,ALGORITHM_OR_BUSINESS_LOGIC,backend/app/support_layers/quality/decision_quality_stack.py::DQSRiskState,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,UNKNOWN,DISCOVERY_REQUIRED,Decision quality and risk controls,QUALITY_AND_RISK,QualityScore|RiskPanel|ConfidenceGauge|GovernanceStatus,USER|ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|API_CONTRACT_UNVERIFIED|DATA_STATE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-0AB1FDCBBD5FA5E8,CAP-C250957D114F,Frontend Contract,API_ENDPOINT,backend/app/api/v1/frontend_contract.py,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,GET /ACCOUNT/TRIAL,UNKNOWN,UNKNOWN,CALCULATED_REAL,"Trial, plans, and billing",TRIAL_AND_BILLING,TrialCountdown|PlanComparison|UsageMeter|BillingStatus,USER|ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|DATA_STATE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-0AFD7CA382703AB5,CAP-A5C181808EF6,Frontend Contract,API_ENDPOINT,backend/app/api/v1/frontend_contract.py,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,POST /AUTH/2FA/VERIFY,UNKNOWN,UNKNOWN,CALCULATED_REAL,Authentication and account access,AUTHENTICATION,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow,PUBLIC|AUTHENTICATED_USER,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|DATA_STATE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-0EDDB74E15FCFD6A,CAP-89287AB7B399,Ndsp Admin Actions Bypass Old Middleware,API_ENDPOINT,backend/ndsp_admin_actions_bypass_old_middleware.cjs,true,true,ON_MAIN,ndsp-admin-actions.service,GET /API/ADMIN-ACTIONS/USERS/ACTION/HEALTH,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Platform operations and service health,PLATFORM_OPERATIONS,ServiceHealthGrid|RuntimeStatus|GatewayMonitor|BackupPanel,ADMIN,PARTIALLY_VERIFIED,OWNER_UNASSIGNED,1,CAP-C216A7C8548C,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-0EE83BCF1B387E47,CAP-E07F7BC7E52F,Ndsp User Login Gateway,API_ENDPOINT,backend/auth_api/ndsp_user_login_gateway.cjs,false,true,LOCAL_ONLY,ndsp-user-login.service,POST /API/AUTH/INTERNAL/EVIDENCE,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Platform operations and service health,PLATFORM_OPERATIONS,ServiceHealthGrid|RuntimeStatus|GatewayMonitor|BackupPanel,ADMIN,PARTIALLY_VERIFIED,OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-1143EF6BAB8687CD,CAP-D6102C7DC3C1,Frontend Contract,API_ENDPOINT,backend/app/api/v1/frontend_contract.py,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,GET /PACKAGES,UNKNOWN,UNKNOWN,CALCULATED_REAL,Unclassified platform capability,CAPABILITY_REVIEW,CapabilityInspector|EvidencePanel,ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|DATA_STATE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-12CE9BAE31EA4CB2,CAP-EDF3F96EC14B,User Operational Compat,API_ENDPOINT,backend/app/api/compat/user_operational_compat.py,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,POST /API/TRIAL/REGISTER,JSON|POSTGRES,REAL_SNAPSHOT,CALCULATED_REAL,"Trial, plans, and billing",TRIAL_AND_BILLING,TrialCountdown|PlanComparison|UsageMeter|BillingStatus,USER|ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-1331DA2B82D10D74,CAP-1FBA01D3C252,Framework Adapter,API_ENDPOINT,backend/services/bot_execution/framework-adapter.cjs,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,GET /ABOUT,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Public platform presentation,LANDING,CapabilityProof|LiveMetric|PlatformTimeline,PUBLIC,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|OWNER_UNASSIGNED,3,CAP-4515D5FBBBF3|CAP-D64F1CFB3F24|CAP-F5C8984FC6A0,true,REQUIRED,2026-07-31T20:18:20Z
