gate	status	evidence
SAFETY_CONTRACT	PASS	Explicit confirmation, protected names, tools, identities and canonical paths validated.
SOURCE_LOCK	PASS	Active production entrypoint and audited source path match the expected package identity and hashes.
PRODUCTION_DB_READ_ONLY	PASS	Only public and ndsp_guard schema metadata were read; ndsp_guard contains functions but no data-bearing relations; archive schemas and all production rows were excluded.
STAGING_POLICY	PASS	No staging DB, role, OS user/group, unit, env, release root, state root or current link exists; automatic reset is disabled.
STAGING_DATABASE	PASS	Schema-only DB created; extensions restored via stdin; public and ndsp_guard were restored in dependency order; the pre-existing public schema conflict was filtered only from the restore stream; exact combined-schema round-trip passed.
SOURCE_BUILD	PASS	Locked source rebuilt in an isolated no-network transient unit; server and UI outputs were verified with privileged traversal; production dist and secrets were not reused.
IMMUTABLE_RELEASE	PASS	Release is root-owned, staging-group-readable, not world-readable and has no writable files.
STAGING_SERVICE	PASS	Service is active only inside a private network namespace, disabled at boot, with no Nginx route.
SMOKE_TEST	PASS	Canonical session route answered inside the private namespace and the staging safety marker is valid.
PRODUCTION_UNTOUCHED	PASS	Nginx, portal, canonical backend, locked source, production entrypoint and auth PID are unchanged.
FINAL	PASS	Isolated source-built staging passed exact schema round-trip, private service smoke test and production freeze proof.
