path,source_kind,categories,risk,pr062_recommended_action,pr064a_action,evidence_flags,implementation_allowed_now,human_review_required,evidence_sample
apps/ndsp-governance-bridge/app/core/tdl_v2_policy.py,RUNTIME_IMPLEMENTATION,DIRECTION|TIME,HIGH,REPLACE_OR_WRAP,REPLACE,NONE,false,true,"13:""timing_mode"": ""control_days"", | 24:return datetime.now(timezone.utc).isoformat() | 76:now = datetime.now(timezone.utc) | 77:weekday = now.weekday() # Monday=0 ... Sunday=6 | 88:""timing_mode"": policy.get(""timing_mode"", ""control_days""),"
backend/app/api/v1/frontend_contract.py,CONTRACT,DIRECTION|TIME,HIGH,ALIGN_CONTRACT,CONTRACT_ONLY,NONE,false,true,"13:return datetime.now(timezone.utc).isoformat() | 145:started = datetime.now(timezone.utc) | 160:started = datetime.now(timezone.utc) - timedelta(days=0) | 286:""bias"": ""flat"", | 287:""horizon"": ""short"","
backend/middleware/trialGuard.js,RUNTIME_IMPLEMENTATION,TIME,HIGH,REPLACE_OR_WRAP,REPLACE,LOCAL_TIME_USAGE,false,true,"41:return date.toISOString().slice(0, 10);"
backend/ndsp_api_compat_gateway.cjs,INTEGRATION,CORE_EXPANDED|DIRECTION|TIME,HIGH,REPLACE_OR_WRAP,WRAP,NONE,false,true,24:loadEnvFile('/home/nawaf511/empire-core-new/backend/.env') | 25:loadEnvFile('/home/nawaf511/empire-core-new/backend/auth_api/.env') | 29:const JWT_SECRET = process.env.JWT_SECRET || process.env.NDSP_JWT_SECRET || process.env.ADMIN_JWT_SECRET || process.env.NDSP_ADMIN_JWT_SECRET || process.env.SESSION_SECRET || 'chan | 107:const started = u.trial_started_at || u.activated_at || new Date().toISOString()
backend/ndsp_tdl_trade_horizon_addons.cjs,RUNTIME_IMPLEMENTATION,DIRECTION|TIME,HIGH,REPLACE_OR_WRAP,REPLACE,LOCAL_TIME_USAGE,false,true,8:- Same L&M weekly direction with S weekly direction => SWING | 9:- Different L&M weekly direction from S weekly direction => SCALPING | 12:- Buy sum sign different from sell sum sign => STRONG / exposed direction | 13:- Buy sum sign same as sell sum sign => WEAK / non-explicit direction | 16:- L&M primary: Asset Managers
backend/ndsp_trial_register_gateway.cjs,INTEGRATION,DIRECTION|TIME,HIGH,REPLACE_OR_WRAP,WRAP,LOCAL_TIME_USAGE,false,true,"6:en: ""At the end of the trial period, a short survey will be provided to evaluate your NDSP experience. The survey helps improve decision quality, user experience, and the best pack | 361:Time: ${new Date().toISOString()}"
backend/ndsp_user_dashboard_gateway.cjs,INTEGRATION,DIRECTION|TIME,HIGH,REPLACE_OR_WRAP,WRAP,NONE,false,true,"245:const pct = q && q['10. change percent'] ? String(q['10. change percent']).replace('%','') : null; | 278:generated_at:new Date().toISOString(), | 438:generated_at:new Date().toISOString(),"
backend/app/support_layers/quality/decision_quality_stack.py,RUNTIME_IMPLEMENTATION,DIRECTION,MEDIUM,WRAP_OR_REPLACE,KEEP_OR_WRAP,NONE,false,true,10:- DQS must never change decision.direction.
backend/app/support_layers/scenario/scenario_engine.py,RUNTIME_IMPLEMENTATION,DIRECTION,MEDIUM,WRAP_OR_REPLACE,KEEP_OR_WRAP,NONE,false,true,12:- Does not change direction. | 13:- Does not change confidence. | 14:- Does not change risk_state. | 15:- Does not change decision_state. | 63:It has no authority to change the decision contract.
backend/ndsp_admin_actions_gateway.cjs,INTEGRATION,TIME,MEDIUM,WRAP_OR_REPLACE,KEEP_OR_WRAP,LEGACY_PATH_REFERENCE,false,true,"175:generated_at: new Date().toISOString(),"
