batch_id,execution_order,batch_position,capability_id,capability_name,p0_signature,service_gap,endpoint_gap,real_data_gap,remaining_gaps,passed_dimension_count,existing_coverage_state,data_state,remediation_action,closure_condition,human_confirmation_required
B09_SERVICE_REAL_DATA,9,1,CAP-0066A47FF328,Ndsp Public Decision Quality,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,SOURCE_IDENTIFIED,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,2,CAP-1653A8452D19,Compute From Active Engine,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,SOURCE_IDENTIFIED,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,3,CAP-367A94FB6D59,Auth Register,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,4,CAP-38A2585A38E0,Admin Registrations,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,5,CAP-3FBDCF7CE0E5,Admin Payment Approve,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,6,CAP-4B44E1521757,Find Quality,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,SOURCE_IDENTIFIED,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,7,CAP-531AC9AE3E7D,Admin Payment Reject,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,8,CAP-538062400EBA,Auth Forgot,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,9,CAP-5F3BB15915F6,Compute Public Quality,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,SOURCE_IDENTIFIED,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,10,CAP-606E55E95DA2,Alert Prefs Payload,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,11,CAP-63C8FEAE8B5B,Auth 2Fa Verify,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,12,CAP-6B7418516628,Put Alert Prefs,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,13,CAP-75CF22E0AFA6,Get Alert Prefs,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,14,CAP-798893D4D6E0,Asset Decision,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,15,CAP-81A7994FF55D,Auth Magic Link,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,16,CAP-8CF3F7EFFA7B,Account Trial,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,17,CAP-968B626DE9C3,Admin Registration Decision,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,18,CAP-A069C614B1B1,Admin Layers,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,19,CAP-AC57AF196812,Public Decision Quality,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,SOURCE_IDENTIFIED,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,20,CAP-B742DDE3B851,Me Subscription,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,21,CAP-B9C3A591EABA,Find Quality,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,SOURCE_IDENTIFIED,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,22,CAP-BE68902B1F61,Admin Payments,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,23,CAP-D2D57F714E79,Auth Magic Link Verify,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,24,CAP-DA1498962CCC,Auth Login,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B09_SERVICE_REAL_DATA,9,25,CAP-E739D717BE35,Admin Health,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA|CALCULATION|UI,3,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
