gate	status	evidence
AUDIT_PRECONDITIONS	PASS	Project and web root exist.
DESIGN_FREEZE	PASS	/home/nawaf511/empire-core-new/docs/00-governance/NDSP_FINAL_FRONTEND_GOVERNANCE_LOCK_V1/NDSP_FINAL_FRONTEND_GOVERNANCE_LOCK_V1.md
FINAL_RELEASE_ARCHITECTURE	PASS	/portal-next/ HTTP=200
SOURCE_MAPS_DISABLED	PASS	No source maps found.
PAGE_COMPLETENESS_PUBLIC_ROUTES	PASS	https://ndsp.app/=200;https://my.ndsp.app/login/=200;https://my.ndsp.app/register/=200;https://my.ndsp.app/forgot-password/=200;https://my.ndsp.app/reset-password/=200;https://my.ndsp.app/portal-next/=200;https://my.ndsp.app/support/=200;https://my.ndsp.app/subscribe/=200;
TRIAL_16_DAYS	PASS	duration_days=16
POST_TRIAL_TO_FREE	FAIL	Automatic transition to Free not proven.
LEGAL_TRIAL_ACKNOWLEDGMENT	FAIL	Legal/trial acknowledgment contract not proven.
PACKAGES_PRICING_LIMITS	FAIL	HTTP=200 paid=2 priced=0 limits=2 pricing_pending=False
PAYMENT_AND_BILLING	FAIL	No proven production payment provider/billing lifecycle.
SUBSCRIPTION_API	FAIL	Durable subscription API not found.
DECISION_CORE_16_LAYERS_28_CAPABILITIES	PASS	16 layers, 28 capabilities, price and scenario returned.
LIVE_PRICE_AND_CHART_DATA	PASS	/api/market/candles=200/2177;
COMPLETED_DECISIONS	FAIL	HTTP=401 bytes=188
PORTFOLIO	FAIL	Persistent Portfolio/Watchlist CRUD not found.
ALERTS	FAIL	source=NO SMTP=YES Telegram=YES
SUPPORT_OPERATIONS	WARN	Support page live; ticket delivery and SLA drill not proven.
AR_EN_LOCALIZATION	FAIL	Arabic=NO English=NO
BEGINNER_PRO_MODE	FAIL	Beginner/Professional mode not found.
INTERNAL_LAYER_SECRECY	FAIL	Internal identifiers found in public files.
SECURITY_HEADERS	FAIL	Missing: HSTS nosniff Referrer-Policy CSP 
PUBLIC_ARTIFACT_HYGIENE	PASS	No obvious sensitive artifacts found.
NGINX_CONFIGURATION	PASS	nginx -t passed.
BUILD	PASS	Recent build evidence: /home/nawaf511/empire-core-new/docs/05-runbooks/NDSP_V18_P8_D6_PUBLIC_TERMS_SANITIZER_20260709_142051.md
TESTS	WARN	Test evidence found: /home/nawaf511/empire-core-new/docs/05-runbooks/NDSP_V1_FREEZE_EN.md; verify it includes unit, integration, desktop and mobile.
ACCESSIBILITY	PASS	Recent accessibility evidence: /home/nawaf511/empire-core-new/docs/05-runbooks/NDSP_V18_P8_D6_PUBLIC_TERMS_SANITIZER_20260709_142051.md
VISUAL_REVIEW	PASS	Recent visual approval evidence: /home/nawaf511/empire-core-new/docs/05-runbooks/NDSP_TRIAL_SEATS_9090_SOURCE_TRACE_V3_20260727_231037/work/route-hits.txt
BACKUP	PASS	Recent backup evidence: /home/nawaf511/empire-core-new/backups/source-first-account-delete-v1
ROLLBACK	PASS	Rollback evidence: /home/nawaf511/empire-core-new/docs/05-runbooks/NDSP_TRIAL_SEATS_9090_SOURCE_TRACE_V3_20260727_231037/work/route-hits.txt
MONITORING_AND_OPERATIONS	WARN	Monitoring unit active; incident drill and alert delivery still require proof.
CANONICAL_SOURCE_LOCK	WARN	Partial source/live lock evidence: /home/nawaf511/empire-core-new/docs/05-runbooks/NDSP_TRIAL_SEATS_9090_SOURCE_TRACE_V3_20260727_231037/work/route-hits.txt
TERMS_PRIVACY_LEGAL_REVIEW	PASS	Terms=200; Privacy=200; approval=/home/nawaf511/empire-core-new/docs/05-runbooks/NDSP_TRIAL_SEATS_9090_SOURCE_TRACE_V3_20260727_231037/work/route-hits.txt
