batch_id,execution_order,signature,capability_count,service_gap_count,endpoint_gap_count,real_data_gap_count,remediation_action,closure_condition,production_restart_allowed,mutating_probe_allowed,human_confirmation_required
B01_SERVICE_ENDPOINT_REAL_DATA,1,SERVICE_ENDPOINT_REAL_DATA,25,25,25,25,"Map the runtime service, expose or confirm the read-only endpoint, connect an explicit real data source, then capture runtime proof.",service_mapped=true;endpoint_verified=true;real_data_verified=true;runtime_probe=PASS,false,false,true
B02_SERVICE_ENDPOINT_REAL_DATA,2,SERVICE_ENDPOINT_REAL_DATA,25,25,25,25,"Map the runtime service, expose or confirm the read-only endpoint, connect an explicit real data source, then capture runtime proof.",service_mapped=true;endpoint_verified=true;real_data_verified=true;runtime_probe=PASS,false,false,true
B03_SERVICE_ENDPOINT_REAL_DATA,3,SERVICE_ENDPOINT_REAL_DATA,25,25,25,25,"Map the runtime service, expose or confirm the read-only endpoint, connect an explicit real data source, then capture runtime proof.",service_mapped=true;endpoint_verified=true;real_data_verified=true;runtime_probe=PASS,false,false,true
B04_SERVICE_ENDPOINT_REAL_DATA,4,SERVICE_ENDPOINT_REAL_DATA,25,25,25,25,"Map the runtime service, expose or confirm the read-only endpoint, connect an explicit real data source, then capture runtime proof.",service_mapped=true;endpoint_verified=true;real_data_verified=true;runtime_probe=PASS,false,false,true
B05_SERVICE_ENDPOINT_REAL_DATA,5,SERVICE_ENDPOINT_REAL_DATA,10,10,10,10,"Map the runtime service, expose or confirm the read-only endpoint, connect an explicit real data source, then capture runtime proof.",service_mapped=true;endpoint_verified=true;real_data_verified=true;runtime_probe=PASS,false,false,true
B06_SERVICE_ENDPOINT,6,SERVICE_ENDPOINT,25,25,25,0,"Map the owning runtime service and canonical endpoint, then add a non-mutating probe and contract evidence.",service_mapped=true;endpoint_verified=true;runtime_probe=PASS,false,false,true
B07_SERVICE_ENDPOINT,7,SERVICE_ENDPOINT,25,25,25,0,"Map the owning runtime service and canonical endpoint, then add a non-mutating probe and contract evidence.",service_mapped=true;endpoint_verified=true;runtime_probe=PASS,false,false,true
B08_SERVICE_ENDPOINT,8,SERVICE_ENDPOINT,6,6,6,0,"Map the owning runtime service and canonical endpoint, then add a non-mutating probe and contract evidence.",service_mapped=true;endpoint_verified=true;runtime_probe=PASS,false,false,true
B09_SERVICE_REAL_DATA,9,SERVICE_REAL_DATA,25,25,0,25,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,false,false,true
B10_SERVICE_REAL_DATA,10,SERVICE_REAL_DATA,25,25,0,25,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,false,false,true
B11_SERVICE_REAL_DATA,11,SERVICE_REAL_DATA,18,18,0,18,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,false,false,true
B12_ENDPOINT_REAL_DATA,12,ENDPOINT_REAL_DATA,25,0,25,25,"Confirm the canonical endpoint and explicit real data source, then capture a non-empty structured response profile.",endpoint_verified=true;real_data_verified=true;response_profile=PASS,false,false,true
B13_ENDPOINT_REAL_DATA,13,ENDPOINT_REAL_DATA,18,0,18,18,"Confirm the canonical endpoint and explicit real data source, then capture a non-empty structured response profile.",endpoint_verified=true;real_data_verified=true;response_profile=PASS,false,false,true
B14_SERVICE_ONLY,14,SERVICE_ONLY,25,25,0,0,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,false,false,true
B15_SERVICE_ONLY,15,SERVICE_ONLY,25,25,0,0,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,false,false,true
B16_SERVICE_ONLY,16,SERVICE_ONLY,25,25,0,0,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,false,false,true
B17_SERVICE_ONLY,17,SERVICE_ONLY,3,3,0,0,Assign the canonical runtime service and verify the owning deployment or process without restarting production.,service_mapped=true;service_evidence=PASS,false,false,true
B18_ENDPOINT_ONLY,18,ENDPOINT_ONLY,25,0,25,0,Confirm the canonical read-only endpoint and add contract plus non-mutating response evidence.,endpoint_verified=true;contract_evidence=PASS,false,false,true
B19_ENDPOINT_ONLY,19,ENDPOINT_ONLY,11,0,11,0,Confirm the canonical read-only endpoint and add contract plus non-mutating response evidence.,endpoint_verified=true;contract_evidence=PASS,false,false,true
