rank,capability_id,capability_name,p0_gap_count,total_gap_count,service_gap,endpoint_gap,real_data_gap,remaining_gaps,p0_signature,existing_coverage_state,data_state
1,CAP-03073B90064B,Cot Intelligence Result,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,UI_PARTIAL,UNKNOWN
2,CAP-045CDA0A73DF,Narrative Engine,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,UI_PARTIAL,UNKNOWN
3,CAP-08273C63D4D2,Quality Result,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
4,CAP-09BC17001F61,Cot Snapshot,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,UI_PARTIAL,UNKNOWN
5,CAP-0FFED1B1BA78,Evaluate Golden Signals,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
6,CAP-1103369520D4,Cot Asset Mapping,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,UI_PARTIAL,UNKNOWN
7,CAP-1C960FEE24EA,Version Registry,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
8,CAP-1E0E3F4C57D1,L16 Decision Readiness State Machine,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
9,CAP-271C117DF5B2,Trial Payload,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,UI_PARTIAL,MOCK_ONLY
10,CAP-27F8705FBD92,Active Trial,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,UI_PARTIAL,MOCK_ONLY
11,CAP-291C5498F747,Attach Tdl Trade Horizon Addons,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
