batch_id,execution_order,batch_position,capability_id,capability_name,p0_signature,service_gap,endpoint_gap,real_data_gap,remaining_gaps,passed_dimension_count,existing_coverage_state,data_state,remediation_action,closure_condition,human_confirmation_required
B01_SERVICE_ENDPOINT_REAL_DATA,1,1,CAP-03073B90064B,Cot Intelligence Result,SERVICE_ENDPOINT_REAL_DATA,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,2,UI_PARTIAL,UNKNOWN,"Map the runtime service, expose or confirm the read-only endpoint, connect an explicit real data source, then capture runtime proof.",service_mapped=true;endpoint_verified=true;real_data_verified=true;runtime_probe=PASS,true
B01_SERVICE_ENDPOINT_REAL_DATA,1,2,CAP-045CDA0A73DF,Narrative Engine,SERVICE_ENDPOINT_REAL_DATA,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,2,UI_PARTIAL,UNKNOWN,"Map the runtime service, expose or confirm the read-only endpoint, connect an explicit real data source, then capture runtime proof.",service_mapped=true;endpoint_verified=true;real_data_verified=true;runtime_probe=PASS,true
B01_SERVICE_ENDPOINT_REAL_DATA,1,3,CAP-08273C63D4D2,Quality Result,SERVICE_ENDPOINT_REAL_DATA,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,2,SOURCE_IDENTIFIED,UNKNOWN,"Map the runtime service, expose or confirm the read-only endpoint, connect an explicit real data source, then capture runtime proof.",service_mapped=true;endpoint_verified=true;real_data_verified=true;runtime_probe=PASS,true
B01_SERVICE_ENDPOINT_REAL_DATA,1,4,CAP-09BC17001F61,Cot Snapshot,SERVICE_ENDPOINT_REAL_DATA,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,2,UI_PARTIAL,UNKNOWN,"Map the runtime service, expose or confirm the read-only endpoint, connect an explicit real data source, then capture runtime proof.",service_mapped=true;endpoint_verified=true;real_data_verified=true;runtime_probe=PASS,true
B01_SERVICE_ENDPOINT_REAL_DATA,1,5,CAP-0FFED1B1BA78,Evaluate Golden Signals,SERVICE_ENDPOINT_REAL_DATA,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,2,SOURCE_IDENTIFIED,UNKNOWN,"Map the runtime service, expose or confirm the read-only endpoint, connect an explicit real data source, then capture runtime proof.",service_mapped=true;endpoint_verified=true;real_data_verified=true;runtime_probe=PASS,true
B01_SERVICE_ENDPOINT_REAL_DATA,1,6,CAP-1103369520D4,Cot Asset Mapping,SERVICE_ENDPOINT_REAL_DATA,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,2,UI_PARTIAL,UNKNOWN,"Map the runtime service, expose or confirm the read-only endpoint, connect an explicit real data source, then capture runtime proof.",service_mapped=true;endpoint_verified=true;real_data_verified=true;runtime_probe=PASS,true
B01_SERVICE_ENDPOINT_REAL_DATA,1,7,CAP-1C960FEE24EA,Version Registry,SERVICE_ENDPOINT_REAL_DATA,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,2,SOURCE_IDENTIFIED,UNKNOWN,"Map the runtime service, expose or confirm the read-only endpoint, connect an explicit real data source, then capture runtime proof.",service_mapped=true;endpoint_verified=true;real_data_verified=true;runtime_probe=PASS,true
B01_SERVICE_ENDPOINT_REAL_DATA,1,8,CAP-1E0E3F4C57D1,L16 Decision Readiness State Machine,SERVICE_ENDPOINT_REAL_DATA,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,2,SOURCE_IDENTIFIED,UNKNOWN,"Map the runtime service, expose or confirm the read-only endpoint, connect an explicit real data source, then capture runtime proof.",service_mapped=true;endpoint_verified=true;real_data_verified=true;runtime_probe=PASS,true
B01_SERVICE_ENDPOINT_REAL_DATA,1,9,CAP-271C117DF5B2,Trial Payload,SERVICE_ENDPOINT_REAL_DATA,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,2,UI_PARTIAL,MOCK_ONLY,"Map the runtime service, expose or confirm the read-only endpoint, connect an explicit real data source, then capture runtime proof.",service_mapped=true;endpoint_verified=true;real_data_verified=true;runtime_probe=PASS,true
B01_SERVICE_ENDPOINT_REAL_DATA,1,10,CAP-27F8705FBD92,Active Trial,SERVICE_ENDPOINT_REAL_DATA,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,2,UI_PARTIAL,MOCK_ONLY,"Map the runtime service, expose or confirm the read-only endpoint, connect an explicit real data source, then capture runtime proof.",service_mapped=true;endpoint_verified=true;real_data_verified=true;runtime_probe=PASS,true
