capability_id,capability_name,batch_id,p0_signature,selected_evidence_paths,service_required,endpoint_required,real_data_required,old_runtime_service,new_runtime_service,old_endpoint_or_contract,new_endpoint_or_contract,old_data_source,new_data_source,old_data_state,new_data_state,reconciled_dimensions,canonical_fields_changed,human_confirmation_required,ui_complete_created
CAP-0066A47FF328,Ndsp Public Decision Quality,B09_SERVICE_REAL_DATA,SERVICE_REAL_DATA,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,true,false,true,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,GET /api/ndsp/public/decision-quality|GET /api/ndsp/public/decision-quality,GET /api/ndsp/public/decision-quality|GET /api/ndsp/public/decision-quality,UNKNOWN,MACHINE_EVIDENCE[REAL_DATA]::docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,UNKNOWN,REAL_SNAPSHOT,REAL_DATA,true,true,false
CAP-02AC4C12E6F4,Ndsp Public Summary V548,B12_ENDPOINT_REAL_DATA,ENDPOINT_REAL_DATA,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,true,true,ndsp-public-summary-v548.service,ndsp-public-summary-v548.service,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,MACHINE_EVIDENCE[REAL_DATA]::docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,UNKNOWN,REAL_SNAPSHOT,REAL_DATA,true,true,false
CAP-03073B90064B,Cot Intelligence Result,B01_SERVICE_ENDPOINT_REAL_DATA,SERVICE_ENDPOINT_REAL_DATA,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,true,true,true,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,MACHINE_EVIDENCE[REAL_DATA]::docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,UNKNOWN,REAL_SNAPSHOT,REAL_DATA,true,true,false
CAP-033B90B3A316,Nowpayments Create Alias,B15_SERVICE_ONLY,SERVICE_ONLY,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,true,false,false,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,POST /api/payments/nowpayments/subscription/create,POST /api/payments/nowpayments/subscription/create,JSON|POSTGRES,JSON|POSTGRES,REAL_SNAPSHOT,REAL_SNAPSHOT,,false,true,false
CAP-045CDA0A73DF,Narrative Engine,B01_SERVICE_ENDPOINT_REAL_DATA,SERVICE_ENDPOINT_REAL_DATA,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,true,true,true,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,MACHINE_EVIDENCE[REAL_DATA]::docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,UNKNOWN,REAL_SNAPSHOT,REAL_DATA,true,true,false
CAP-047A94BA516E,Guard Decision Output,B12_ENDPOINT_REAL_DATA,ENDPOINT_REAL_DATA,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,true,true,ndsp-governance-bridge.service,ndsp-governance-bridge.service,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,MACHINE_EVIDENCE[REAL_DATA]::docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,UNKNOWN,REAL_SNAPSHOT,REAL_DATA,true,true,false
CAP-0622719B013B,Ndsp Public Quality Unique,B10_SERVICE_REAL_DATA,SERVICE_REAL_DATA,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,true,false,true,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,GET /api/ndsp/public/decision-quality,GET /api/ndsp/public/decision-quality,UNKNOWN,MACHINE_EVIDENCE[REAL_DATA]::docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,UNKNOWN,REAL_SNAPSHOT,REAL_DATA,true,true,false
CAP-071618E88E83,Frontend Contract,B10_SERVICE_REAL_DATA,SERVICE_REAL_DATA,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,true,false,true,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,GET /me/entitlements,GET /me/entitlements,UNKNOWN,MACHINE_EVIDENCE[REAL_DATA]::docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,UNKNOWN,REAL_SNAPSHOT,REAL_DATA,true,true,false
CAP-08273C63D4D2,Quality Result,B01_SERVICE_ENDPOINT_REAL_DATA,SERVICE_ENDPOINT_REAL_DATA,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,true,true,true,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,MACHINE_EVIDENCE[REAL_DATA]::docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,UNKNOWN,REAL_SNAPSHOT,REAL_DATA,true,true,false
CAP-08E20E709D83,Path Needs Governance,B06_SERVICE_ENDPOINT,SERVICE_ENDPOINT,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,true,true,false,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,JSON,JSON,REAL_SNAPSHOT,REAL_SNAPSHOT,,false,true,false
