protocol,bind_address,port,pid,process_name,systemd_unit,canonical_service,ownership_category,application_scope,address_scope,network_binding,protocol_hint,evidence_source,confidence,governance_status,internet_reachability,notes
tcp,0.0.0.0,22,,,,,HOST_INFRASTRUCTURE,HOST,WILDCARD,NETWORK_EXPOSED,SSH,PORT_PROCESS_AND_SYSTEMD,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_DETERMINED_FROM_BINDING_ALONE,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,::,22,,,,,HOST_INFRASTRUCTURE,HOST,WILDCARD,NETWORK_EXPOSED,SSH,PORT_PROCESS_AND_SYSTEMD,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_DETERMINED_FROM_BINDING_ALONE,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,0.0.0.0,25,2499955,master,postfix@-.service,,HOST_INFRASTRUCTURE,HOST,WILDCARD,NETWORK_EXPOSED,SMTP,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_DETERMINED_FROM_BINDING_ALONE,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,::,25,2499955,master,postfix@-.service,,HOST_INFRASTRUCTURE,HOST,WILDCARD,NETWORK_EXPOSED,SMTP,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_DETERMINED_FROM_BINDING_ALONE,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.53%lo,53,2978673,systemd-resolve,systemd-resolved.service,,HOST_INFRASTRUCTURE,HOST,LOOPBACK,INTERNAL_ONLY,DNS,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.54,53,2978673,systemd-resolve,systemd-resolved.service,,HOST_INFRASTRUCTURE,HOST,LOOPBACK,INTERNAL_ONLY,DNS,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
udp,127.0.0.53%lo,53,2978673,systemd-resolve,systemd-resolved.service,,HOST_INFRASTRUCTURE,HOST,LOOPBACK,INTERNAL_ONLY,DNS,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
udp,127.0.0.54,53,2978673,systemd-resolve,systemd-resolved.service,,HOST_INFRASTRUCTURE,HOST,LOOPBACK,INTERNAL_ONLY,DNS,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,0.0.0.0,80,,,,,EDGE_PROXY,HOST,WILDCARD,NETWORK_EXPOSED,HTTP,PORT_PROCESS_AND_SYSTEMD,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_DETERMINED_FROM_BINDING_ALONE,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,::,80,,,,,EDGE_PROXY,HOST,WILDCARD,NETWORK_EXPOSED,HTTP,PORT_PROCESS_AND_SYSTEMD,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_DETERMINED_FROM_BINDING_ALONE,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,0.0.0.0,443,,,,,EDGE_PROXY,HOST,WILDCARD,NETWORK_EXPOSED,HTTPS,PORT_PROCESS_AND_SYSTEMD,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_DETERMINED_FROM_BINDING_ALONE,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,::,443,,,,,EDGE_PROXY,HOST,WILDCARD,NETWORK_EXPOSED,HTTPS,PORT_PROCESS_AND_SYSTEMD,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_DETERMINED_FROM_BINDING_ALONE,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,631,1822547,cupsd,cups.service,,HOST_INFRASTRUCTURE,HOST,LOOPBACK,INTERNAL_ONLY,CUPS,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,::1,631,1822547,cupsd,cups.service,,HOST_INFRASTRUCTURE,HOST,LOOPBACK,INTERNAL_ONLY,CUPS,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,0.0.0.0,3000,2978998,node,pm2-nawaf511.service,,NON_CANONICAL_APPLICATION,HOST,WILDCARD,NETWORK_EXPOSED,HTTP,PORT_PROCESS_AND_SYSTEMD,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_DETERMINED_FROM_BINDING_ALONE,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,::1,3350,2978704,xrdp-sesman,xrdp-sesman.service,,HOST_INFRASTRUCTURE,HOST,LOOPBACK,INTERNAL_ONLY,,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,*,3389,2978733,xrdp,xrdp.service,,HOST_INFRASTRUCTURE,HOST,WILDCARD,NETWORK_EXPOSED,RDP,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_DETERMINED_FROM_BINDING_ALONE,Observed read-only listener evidence. Network binding does not independently prove external internet access.
udp,0.0.0.0,5353,2500039,avahi-daemon,avahi-daemon.service,,HOST_INFRASTRUCTURE,HOST,WILDCARD,NETWORK_EXPOSED,,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_DETERMINED_FROM_BINDING_ALONE,Observed read-only listener evidence. Network binding does not independently prove external internet access.
