capability_id,capability_name,blocker,priority,recommended_action,candidate_files,human_owner_confirmation_required
CAP-4FF90CCC6DFE,Tdl V2 Policy Admin,EXPLICIT_DATA_SOURCE_MISSING,P1,Set canonical non-mock data_source in Traceability and document the actual provider/database/feed.,backend/tests/pr028-quick-wins-contracts.test.cjs|backend/ndsp_admin_ui_proxy.cjs|backend/app/api/v1/frontend_contract.py|backend/ndsp_admin_actions_gateway.cjs|backend/ndsp_api_compat_gateway.cjs|backend/ndsp_trial_register_gateway.cjs|backend/ndsp_user_dashboard_gateway.cjs|backend/ndsp_admin_extension.cjs|backend/ndsp_admin_users_official_readonly.cjs|backend/ndsp_layer_name_masking_policy.cjs,true
CAP-4FF90CCC6DFE,Tdl V2 Policy Admin,REAL_DATA_STATE_MISSING,P1,Set data_state to REAL_LIVE or REAL_SNAPSHOT only after owner confirmation and supporting runtime evidence.,backend/tests/pr028-quick-wins-contracts.test.cjs|backend/ndsp_admin_ui_proxy.cjs|backend/app/api/v1/frontend_contract.py|backend/ndsp_admin_actions_gateway.cjs|backend/ndsp_api_compat_gateway.cjs|backend/ndsp_trial_register_gateway.cjs|backend/ndsp_user_dashboard_gateway.cjs|backend/ndsp_admin_extension.cjs|backend/ndsp_admin_users_official_readonly.cjs|backend/ndsp_layer_name_masking_policy.cjs,true
CAP-4FF90CCC6DFE,Tdl V2 Policy Admin,ENDPOINT_NOT_RESPONSIVE,P0,Repair or expose the canonical read-only endpoint and verify a local HTTP 2xx/3xx response.,backend/tests/pr028-quick-wins-contracts.test.cjs|backend/ndsp_admin_ui_proxy.cjs|backend/app/api/v1/frontend_contract.py|backend/ndsp_admin_actions_gateway.cjs|backend/ndsp_api_compat_gateway.cjs|backend/ndsp_trial_register_gateway.cjs|backend/ndsp_user_dashboard_gateway.cjs|backend/ndsp_admin_extension.cjs|backend/ndsp_admin_users_official_readonly.cjs|backend/ndsp_layer_name_masking_policy.cjs,true
CAP-4FF90CCC6DFE,Tdl V2 Policy Admin,PAYLOAD_EMPTY,P0,Investigate upstream ingestion/query filters and ensure the endpoint returns a non-empty production payload.,backend/tests/pr028-quick-wins-contracts.test.cjs|backend/ndsp_admin_ui_proxy.cjs|backend/app/api/v1/frontend_contract.py|backend/ndsp_admin_actions_gateway.cjs|backend/ndsp_api_compat_gateway.cjs|backend/ndsp_trial_register_gateway.cjs|backend/ndsp_user_dashboard_gateway.cjs|backend/ndsp_admin_extension.cjs|backend/ndsp_admin_users_official_readonly.cjs|backend/ndsp_layer_name_masking_policy.cjs,true
CAP-4FF90CCC6DFE,Tdl V2 Policy Admin,PAYLOAD_NOT_JSON,P0,Return a documented JSON contract or update the verifier to the canonical structured response format.,backend/tests/pr028-quick-wins-contracts.test.cjs|backend/ndsp_admin_ui_proxy.cjs|backend/app/api/v1/frontend_contract.py|backend/ndsp_admin_actions_gateway.cjs|backend/ndsp_api_compat_gateway.cjs|backend/ndsp_trial_register_gateway.cjs|backend/ndsp_user_dashboard_gateway.cjs|backend/ndsp_admin_extension.cjs|backend/ndsp_admin_users_official_readonly.cjs|backend/ndsp_layer_name_masking_policy.cjs,true
CAP-8A9DD9B6E7D5,Tdl V2 Policy Admin,EXPLICIT_DATA_SOURCE_MISSING,P1,Set canonical non-mock data_source in Traceability and document the actual provider/database/feed.,backend/tests/pr028-quick-wins-contracts.test.cjs|backend/ndsp_admin_ui_proxy.cjs|backend/app/api/v1/frontend_contract.py|backend/ndsp_admin_actions_gateway.cjs|backend/ndsp_api_compat_gateway.cjs|backend/ndsp_trial_register_gateway.cjs|backend/ndsp_user_dashboard_gateway.cjs|backend/ndsp_admin_extension.cjs|backend/ndsp_admin_users_official_readonly.cjs|backend/ndsp_layer_name_masking_policy.cjs,true
CAP-8A9DD9B6E7D5,Tdl V2 Policy Admin,REAL_DATA_STATE_MISSING,P1,Set data_state to REAL_LIVE or REAL_SNAPSHOT only after owner confirmation and supporting runtime evidence.,backend/tests/pr028-quick-wins-contracts.test.cjs|backend/ndsp_admin_ui_proxy.cjs|backend/app/api/v1/frontend_contract.py|backend/ndsp_admin_actions_gateway.cjs|backend/ndsp_api_compat_gateway.cjs|backend/ndsp_trial_register_gateway.cjs|backend/ndsp_user_dashboard_gateway.cjs|backend/ndsp_admin_extension.cjs|backend/ndsp_admin_users_official_readonly.cjs|backend/ndsp_layer_name_masking_policy.cjs,true
CAP-8A9DD9B6E7D5,Tdl V2 Policy Admin,ENDPOINT_NOT_RESPONSIVE,P0,Repair or expose the canonical read-only endpoint and verify a local HTTP 2xx/3xx response.,backend/tests/pr028-quick-wins-contracts.test.cjs|backend/ndsp_admin_ui_proxy.cjs|backend/app/api/v1/frontend_contract.py|backend/ndsp_admin_actions_gateway.cjs|backend/ndsp_api_compat_gateway.cjs|backend/ndsp_trial_register_gateway.cjs|backend/ndsp_user_dashboard_gateway.cjs|backend/ndsp_admin_extension.cjs|backend/ndsp_admin_users_official_readonly.cjs|backend/ndsp_layer_name_masking_policy.cjs,true
CAP-8A9DD9B6E7D5,Tdl V2 Policy Admin,PAYLOAD_EMPTY,P0,Investigate upstream ingestion/query filters and ensure the endpoint returns a non-empty production payload.,backend/tests/pr028-quick-wins-contracts.test.cjs|backend/ndsp_admin_ui_proxy.cjs|backend/app/api/v1/frontend_contract.py|backend/ndsp_admin_actions_gateway.cjs|backend/ndsp_api_compat_gateway.cjs|backend/ndsp_trial_register_gateway.cjs|backend/ndsp_user_dashboard_gateway.cjs|backend/ndsp_admin_extension.cjs|backend/ndsp_admin_users_official_readonly.cjs|backend/ndsp_layer_name_masking_policy.cjs,true
CAP-8A9DD9B6E7D5,Tdl V2 Policy Admin,PAYLOAD_NOT_JSON,P0,Return a documented JSON contract or update the verifier to the canonical structured response format.,backend/tests/pr028-quick-wins-contracts.test.cjs|backend/ndsp_admin_ui_proxy.cjs|backend/app/api/v1/frontend_contract.py|backend/ndsp_admin_actions_gateway.cjs|backend/ndsp_api_compat_gateway.cjs|backend/ndsp_trial_register_gateway.cjs|backend/ndsp_user_dashboard_gateway.cjs|backend/ndsp_admin_extension.cjs|backend/ndsp_admin_users_official_readonly.cjs|backend/ndsp_layer_name_masking_policy.cjs,true
