batch_id,execution_order,batch_position,capability_id,capability_name,p0_signature,service_gap,endpoint_gap,real_data_gap,remaining_gaps,passed_dimension_count,existing_coverage_state,data_state,remediation_action,closure_condition,human_confirmation_required
B06_SERVICE_ENDPOINT,6,1,CAP-08E20E709D83,Path Needs Governance,SERVICE_ENDPOINT,true,true,false,SERVICE|ENDPOINT|UI,4,UI_PARTIAL,REAL_SNAPSHOT,"Map the owning runtime service and canonical endpoint, then add a non-mutating probe and contract evidence.",service_mapped=true;endpoint_verified=true;runtime_probe=PASS,true
B06_SERVICE_ENDPOINT,6,2,CAP-0AB187B5D320,Evaluate L16 Scenario Alerts,SERVICE_ENDPOINT,true,true,false,SERVICE|ENDPOINT|UI,4,UI_PARTIAL,REAL_SNAPSHOT,"Map the owning runtime service and canonical endpoint, then add a non-mutating probe and contract evidence.",service_mapped=true;endpoint_verified=true;runtime_probe=PASS,true
B06_SERVICE_ENDPOINT,6,3,CAP-0FC1797C1FB1,Load Governance,SERVICE_ENDPOINT,true,true,false,SERVICE|ENDPOINT|UI,4,UI_PARTIAL,REAL_SNAPSHOT,"Map the owning runtime service and canonical endpoint, then add a non-mutating probe and contract evidence.",service_mapped=true;endpoint_verified=true;runtime_probe=PASS,true
B06_SERVICE_ENDPOINT,6,4,CAP-151D33E801FF,Govern Decision Output,SERVICE_ENDPOINT,true,true,false,SERVICE|ENDPOINT|UI,4,UI_PARTIAL,REAL_SNAPSHOT,"Map the owning runtime service and canonical endpoint, then add a non-mutating probe and contract evidence.",service_mapped=true;endpoint_verified=true;runtime_probe=PASS,true
B06_SERVICE_ENDPOINT,6,5,CAP-1818863D4B3D,Validate Market Response,SERVICE_ENDPOINT,true,true,false,SERVICE|ENDPOINT|UI,4,UI_PARTIAL,REAL_LIVE,"Map the owning runtime service and canonical endpoint, then add a non-mutating probe and contract evidence.",service_mapped=true;endpoint_verified=true;runtime_probe=PASS,true
B06_SERVICE_ENDPOINT,6,6,CAP-19318F0DAA6E,Layer Orchestrator,SERVICE_ENDPOINT,true,true,false,SERVICE|ENDPOINT|UI,4,UI_PARTIAL,REAL_SNAPSHOT,"Map the owning runtime service and canonical endpoint, then add a non-mutating probe and contract evidence.",service_mapped=true;endpoint_verified=true;runtime_probe=PASS,true
B06_SERVICE_ENDPOINT,6,7,CAP-1B6E6543D240,Test Cot V61 Storage,SERVICE_ENDPOINT,true,true,false,SERVICE|ENDPOINT|UI,4,UI_PARTIAL,REAL_SNAPSHOT,"Map the owning runtime service and canonical endpoint, then add a non-mutating probe and contract evidence.",service_mapped=true;endpoint_verified=true;runtime_probe=PASS,true
B06_SERVICE_ENDPOINT,6,8,CAP-1D1AD9752E92,Evaluate L14 Risk Governance,SERVICE_ENDPOINT,true,true,false,SERVICE|ENDPOINT|UI,4,UI_PARTIAL,REAL_SNAPSHOT,"Map the owning runtime service and canonical endpoint, then add a non-mutating probe and contract evidence.",service_mapped=true;endpoint_verified=true;runtime_probe=PASS,true
B06_SERVICE_ENDPOINT,6,9,CAP-1F6C6744CA7A,Alert Text,SERVICE_ENDPOINT,true,true,false,SERVICE|ENDPOINT|UI,4,UI_PARTIAL,REAL_SNAPSHOT,"Map the owning runtime service and canonical endpoint, then add a non-mutating probe and contract evidence.",service_mapped=true;endpoint_verified=true;runtime_probe=PASS,true
B06_SERVICE_ENDPOINT,6,10,CAP-2038C387452F,Write Report,SERVICE_ENDPOINT,true,true,false,SERVICE|ENDPOINT|UI,4,UI_PARTIAL,REAL_LIVE,"Map the owning runtime service and canonical endpoint, then add a non-mutating probe and contract evidence.",service_mapped=true;endpoint_verified=true;runtime_probe=PASS,true
