batch_id,capability_id,capability_name,p0_signature,closure_state,selected_evidence_paths,service_gap_remaining,endpoint_gap_remaining,real_data_gap_remaining,human_confirmation_required,ui_complete_created
B06_SERVICE_ENDPOINT,CAP-08E20E709D83,Path Needs Governance,SERVICE_ENDPOINT,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B06_SERVICE_ENDPOINT,CAP-0AB187B5D320,Evaluate L16 Scenario Alerts,SERVICE_ENDPOINT,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B06_SERVICE_ENDPOINT,CAP-0FC1797C1FB1,Load Governance,SERVICE_ENDPOINT,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B06_SERVICE_ENDPOINT,CAP-151D33E801FF,Govern Decision Output,SERVICE_ENDPOINT,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B06_SERVICE_ENDPOINT,CAP-1818863D4B3D,Validate Market Response,SERVICE_ENDPOINT,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B06_SERVICE_ENDPOINT,CAP-19318F0DAA6E,Layer Orchestrator,SERVICE_ENDPOINT,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B06_SERVICE_ENDPOINT,CAP-1B6E6543D240,Test Cot V61 Storage,SERVICE_ENDPOINT,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B06_SERVICE_ENDPOINT,CAP-1D1AD9752E92,Evaluate L14 Risk Governance,SERVICE_ENDPOINT,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B06_SERVICE_ENDPOINT,CAP-1F6C6744CA7A,Alert Text,SERVICE_ENDPOINT,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
B06_SERVICE_ENDPOINT,CAP-2038C387452F,Write Report,SERVICE_ENDPOINT,CLOSED_MACHINE_EVIDENCE_FOUND,docs/99-governance/pr-019-capability-discovery-audit/PR019_ACTIVE_CAPABILITY_CATALOG.json,false,false,false,true,false
