service,canonical_status,expected_port,runtime_pid,process_user,supervisor_type,supervisor_unit,executable,entrypoint,working_directory,ownership_status,governance_status,notes
bot-execution,RUNNING,9080,2497949,nawaf511,SYSTEMD,ndsp-bot_execution.service,/usr/bin/nsolid,/usr/bin/node /home/nawaf511/empire-core-new/backend/services/bot_execution/main.cjs,/home/nawaf511/empire-core-new/backend/services/bot_execution,RUNNING_DIRECTLY_MANAGED,ACCEPTED,Canonical service is directly governed by its systemd unit.
completed-decision,RUNNING,9078,2499820,nawaf511,SYSTEMD,ndsp-completed_decision.service,/usr/bin/nsolid,/usr/bin/node /home/nawaf511/empire-core-new/backend/services/completed_decision/main.cjs,/home/nawaf511/empire-core-new/backend/services/completed_decision,RUNNING_DIRECTLY_MANAGED,ACCEPTED,Canonical service is directly governed by its systemd unit.
decision-governance-core,RUNNING,9079,2498024,nawaf511,SYSTEMD,ndsp-decision_governance_core.service,/usr/bin/nsolid,/usr/bin/node /home/nawaf511/empire-core-new/backend/services/decision_governance_core/main.cjs,/home/nawaf511/empire-core-new/backend/services/decision_governance_core,RUNNING_DIRECTLY_MANAGED,ACCEPTED,Canonical service is directly governed by its systemd unit.
ndsp-launch-control-v167,RUNNING,9090,2978939,nawaf511,PM2,pm2-nawaf511.service,/usr/bin/python3.12,python3 /home/nawaf511/empire-core-new/backend/services/ndsp-launch-control-v167/server.py,/home/nawaf511,RUNNING_SHARED_SUPERVISOR,ACCEPTED_WITH_WARNING,Runtime entrypoint confirmed; lifecycle is governed through the shared PM2 systemd supervisor.
ndsp-layers-api,SOURCE_ONLY,,,,NONE,,,,,SOURCE_ONLY,ACCEPTED,Canonical source service with no confirmed listener.
ndsp-live-decision-quality,RUNNING,9057,2978652,nawaf511,SYSTEMD,ndsp-live-decision-quality.service,/usr/bin/python3.12,/usr/bin/python3 /home/nawaf511/empire-core-new/backend/ndsp-live-decision-quality/server.py,/home/nawaf511/empire-core-new/backend/ndsp-live-decision-quality,RUNNING_DIRECTLY_MANAGED,ACCEPTED,Canonical service is directly governed by its systemd unit.
ndsp-platform-backend,RUNNING,9020,2498163,nawaf511,SYSTEMD,ndsp-user-login.service,/usr/bin/nsolid,/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/ndsp_user_login_gateway.cjs,/home/nawaf511/empire-core-new/backend/auth_api,RUNNING_MANAGED_ALIAS,ACCEPTED_WITH_WARNING,Port 9020 is owned by ndsp-user-login.service running backend/auth_api/ndsp_user_login_gateway.cjs. The canonical service name and deployed unit name differ.
ndsp-trial-clock-v163,SOURCE_ONLY,,,,NONE,,,,,SOURCE_ONLY,ACCEPTED,Canonical source service with no confirmed listener.
ndsp-trial-clock-v164,RUNNING,9089,2978938,nawaf511,PM2,pm2-nawaf511.service,/usr/bin/python3.12,python3 /home/nawaf511/empire-core-new/backend/services/ndsp-trial-clock-v164/server.py,/home/nawaf511,RUNNING_SHARED_SUPERVISOR,ACCEPTED_WITH_WARNING,Runtime entrypoint confirmed; lifecycle is governed through the shared PM2 systemd supervisor.
ndsp-trial-register-canonical-wrapper,RUNNING,9041,2498156,nawaf511,SYSTEMD,ndsp-trial-register-canonical-wrapper.service,/usr/bin/nsolid,/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp-trial-register-canonical-wrapper/server.js,/home/nawaf511/empire-core-new/backend/ndsp-trial-register-canonical-wrapper,RUNNING_DIRECTLY_MANAGED,ACCEPTED,Canonical service is directly governed by its systemd unit.
ndsp-trial-seats-api,RUNNING,9064,2498136,nawaf511,SYSTEMD,ndsp-trial-seats-api.service,/usr/bin/nsolid,/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp-trial-seats-api/server.js,/home/nawaf511/empire-core-new/backend/ndsp-trial-seats-api,RUNNING_DIRECTLY_MANAGED,ACCEPTED,Canonical service is directly governed by its systemd unit.
ndsp-user-alert-channels,RUNNING,9062,2498159,nawaf511,SYSTEMD,ndsp-user-alert-channels.service,/usr/bin/nsolid,/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp-user-alert-channels/server.js,/home/nawaf511/empire-core-new/backend/ndsp-user-alert-channels,RUNNING_DIRECTLY_MANAGED,ACCEPTED,Canonical service is directly governed by its systemd unit.
password-reset-gateway,RUNNING,9027,2498041,nawaf511,SYSTEMD,ndsp-password-reset.service,/usr/bin/nsolid,/usr/bin/node /home/nawaf511/empire-core-new/backend/password_reset_gateway/server.js,/home/nawaf511/empire-core-new/backend/password_reset_gateway,RUNNING_MANAGED_ALIAS,ACCEPTED,Canonical service is directly governed by a differently named systemd unit whose entrypoint matches the runtime function.
