batch_id,execution_order,batch_position,capability_id,capability_name,p0_signature,service_gap,endpoint_gap,real_data_gap,remaining_gaps,passed_dimension_count,existing_coverage_state,data_state,remediation_action,closure_condition,human_confirmation_required
B18_ENDPOINT_ONLY,18,1,CAP-156AED7A28CE,V461 Retry Market,ENDPOINT_ONLY,false,true,false,ENDPOINT|UI,5,UI_PARTIAL,REAL_SNAPSHOT,Confirm the canonical read-only endpoint and add contract plus non-mutating response evidence.,endpoint_verified=true;contract_evidence=PASS,true
B18_ENDPOINT_ONLY,18,2,CAP-16BC3B472E5B,Sync Admin Users Json Safe,ENDPOINT_ONLY,false,true,false,ENDPOINT|UI,5,UI_PARTIAL,REAL_SNAPSHOT,Confirm the canonical read-only endpoint and add contract plus non-mutating response evidence.,endpoint_verified=true;contract_evidence=PASS,true
B18_ENDPOINT_ONLY,18,3,CAP-207978A2050E,Activate User By Token,ENDPOINT_ONLY,false,true,false,ENDPOINT|UI,5,UI_PARTIAL,REAL_SNAPSHOT,Confirm the canonical read-only endpoint and add contract plus non-mutating response evidence.,endpoint_verified=true;contract_evidence=PASS,true
B18_ENDPOINT_ONLY,18,4,CAP-20C44DAA9628,Save Governance Mode,ENDPOINT_ONLY,false,true,false,ENDPOINT|UI,5,SERVICE_CONNECTED,REAL_SNAPSHOT,Confirm the canonical read-only endpoint and add contract plus non-mutating response evidence.,endpoint_verified=true;contract_evidence=PASS,true
B18_ENDPOINT_ONLY,18,5,CAP-2885DFC3A9EA,Log Decision,ENDPOINT_ONLY,false,true,false,ENDPOINT|UI,5,SERVICE_CONNECTED,REAL_SNAPSHOT,Confirm the canonical read-only endpoint and add contract plus non-mutating response evidence.,endpoint_verified=true;contract_evidence=PASS,true
B18_ENDPOINT_ONLY,18,6,CAP-354A758262E8,V40 Shape Decision Payload,ENDPOINT_ONLY,false,true,false,ENDPOINT|UI,5,UI_PARTIAL,REAL_SNAPSHOT,Confirm the canonical read-only endpoint and add contract plus non-mutating response evidence.,endpoint_verified=true;contract_evidence=PASS,true
B18_ENDPOINT_ONLY,18,7,CAP-3836195F0EC6,Forward To Trial Gateway,ENDPOINT_ONLY,false,true,false,ENDPOINT|UI,5,UI_PARTIAL,REAL_SNAPSHOT,Confirm the canonical read-only endpoint and add contract plus non-mutating response evidence.,endpoint_verified=true;contract_evidence=PASS,true
B18_ENDPOINT_ONLY,18,8,CAP-399F19D9DFDF,Governance Mode Public,ENDPOINT_ONLY,false,true,false,ENDPOINT|UI,5,SERVICE_CONNECTED,REAL_SNAPSHOT,Confirm the canonical read-only endpoint and add contract plus non-mutating response evidence.,endpoint_verified=true;contract_evidence=PASS,true
B18_ENDPOINT_ONLY,18,9,CAP-3CAAC6E360D3,Authorize Decision Request,ENDPOINT_ONLY,false,true,false,ENDPOINT|UI,5,UI_PARTIAL,REAL_SNAPSHOT,Confirm the canonical read-only endpoint and add contract plus non-mutating response evidence.,endpoint_verified=true;contract_evidence=PASS,true
B18_ENDPOINT_ONLY,18,10,CAP-423A0277D2B0,Parse Quality,ENDPOINT_ONLY,false,true,false,ENDPOINT|UI,5,SERVICE_CONNECTED,REAL_SNAPSHOT,Confirm the canonical read-only endpoint and add contract plus non-mutating response evidence.,endpoint_verified=true;contract_evidence=PASS,true
