layer_id,canonical_source,implementation_files,consumer_files,owner,runtime_owner,status,evidence,notes
L01,backend/layers/canonical_v1/direction/l01_tdl_medium_long.py,backend/app/runtime/ndsp_public_governance_projection_v1.py; backend/app/runtime/ndsp_v200_score_inputs.py; backend/app/runtime/ndsp_v201_launch_completion.py; backend/layers/canonical_v1/direction/l01_tdl_medium_long.py; backend/layers/canonical_v1/layer_orchestrator_v2.py; backend/layers/canonical_v1/registry_lock.py; backend/platform/canonical_v1/boundary_lock.py; backend/platform/runtime/capability_runtime_controller_v1.py,frontend/ndsp-user-portal-v50/config/layers.json; frontend/ndsp-user-portal-v50/public/ndsp-timeframe-layer-contract-v121.js; frontend/user-portal-vite/public/assets/ndsp-governance-44-v26.js; frontend/user-portal-vite/src/components/CompletedDecisionsPanelV37.jsx; frontend/user-portal-vite/src/main.jsx,nawaf511,nawaf511,CONFIRMED,"implementation=8, consumers=5, tests=0, docs=19, total=32",Verified in layer_orchestrator_v2.py and registry_lock.py.
L02,backend/layers/canonical_v1/direction/l02_tdl_short_speculative.py,backend/app/runtime/ndsp_public_governance_projection_v1.py; backend/app/runtime/ndsp_v200_score_inputs.py; backend/layers/canonical_v1/direction/l02_tdl_short_speculative.py; backend/layers/canonical_v1/layer_orchestrator_v2.py; backend/layers/canonical_v1/registry_lock.py,frontend/ndsp-user-portal-v50/config/layers.json; frontend/ndsp-user-portal-v50/public/ndsp-timeframe-layer-contract-v121.js; frontend/user-portal-vite/public/assets/ndsp-governance-44-v26.js; frontend/user-portal-vite/src/components/CompletedDecisionsPanelV37.jsx; frontend/user-portal-vite/src/main.jsx,nawaf511,nawaf511,CONFIRMED,"implementation=5, consumers=5, tests=0, docs=13, total=23",Verified in layer_orchestrator_v2.py and registry_lock.py.
L03,backend/layers/canonical_v1/direction/l03_market_direction_context.py,backend/app/runtime/ndsp_completed_decisions_evidence_v35.py; backend/app/runtime/ndsp_public_governance_projection_v1.py; backend/layers/canonical_v1/direction/l03_market_direction_context.py; backend/layers/canonical_v1/layer_orchestrator_v2.py; backend/layers/canonical_v1/registry_lock.py,frontend/ndsp-user-portal-v50/config/layers.json; frontend/ndsp-user-portal-v50/public/ndsp-timeframe-layer-contract-v121.js; frontend/user-portal-vite/public/assets/ndsp-governance-44-v26.js; frontend/user-portal-vite/src/components/CompletedDecisionsPanelV37.jsx; frontend/user-portal-vite/src/main.jsx,nawaf511,nawaf511,CONFIRMED,"implementation=5, consumers=5, tests=0, docs=13, total=23",Verified in layer_orchestrator_v2.py and registry_lock.py.
L04,backend/layers/canonical_v1/direction/l04_correction_gate.py,backend/app/runtime/ndsp_public_governance_projection_v1.py; backend/app/runtime/ndsp_v200_score_inputs.py; backend/app/runtime/ndsp_v201_launch_completion.py; backend/layers/canonical_v1/direction/l04_correction_gate.py; backend/layers/canonical_v1/layer_orchestrator_v2.py; backend/layers/canonical_v1/registry_lock.py,frontend/ndsp-user-portal-v50/config/layers.json; frontend/ndsp-user-portal-v50/public/ndsp-timeframe-layer-contract-v121.js; frontend/user-portal-vite/public/assets/ndsp-governance-44-v26.js; frontend/user-portal-vite/src/components/CompletedDecisionsPanelV37.jsx; frontend/user-portal-vite/src/main.jsx,nawaf511,nawaf511,CONFIRMED,"implementation=6, consumers=5, tests=0, docs=13, total=24",Verified in layer_orchestrator_v2.py and registry_lock.py.
L05,backend/layers/canonical_v1/quality/l05_divergence_engine.py,backend/app/runtime/ndsp_public_governance_projection_v1.py; backend/layers/canonical_v1/layer_orchestrator_v2.py; backend/layers/canonical_v1/quality/l05_divergence_engine.py; backend/layers/canonical_v1/registry_lock.py,frontend/ndsp-user-portal-v50/config/layers.json; frontend/ndsp-user-portal-v50/public/ndsp-timeframe-layer-contract-v121.js; frontend/user-portal-vite/public/assets/ndsp-governance-44-v26.js; frontend/user-portal-vite/src/components/CompletedDecisionsPanelV37.jsx; frontend/user-portal-vite/src/main.jsx,nawaf511,nawaf511,CONFIRMED,"implementation=4, consumers=5, tests=0, docs=13, total=22",Verified in layer_orchestrator_v2.py and registry_lock.py.
L06,backend/layers/canonical_v1/direction/l06_temporal_day_logic.py,backend/app/runtime/ndsp_public_governance_projection_v1.py; backend/layers/canonical_v1/direction/l06_temporal_day_logic.py; backend/layers/canonical_v1/layer_orchestrator_v2.py; backend/layers/canonical_v1/registry_lock.py,frontend/ndsp-user-portal-v50/config/layers.json; frontend/ndsp-user-portal-v50/public/ndsp-timeframe-layer-contract-v121.js; frontend/user-portal-vite/public/assets/ndsp-governance-44-v26.js; frontend/user-portal-vite/src/components/CompletedDecisionsPanelV37.jsx; frontend/user-portal-vite/src/main.jsx,nawaf511,nawaf511,CONFIRMED,"implementation=4, consumers=5, tests=0, docs=13, total=22",Verified in layer_orchestrator_v2.py and registry_lock.py.
L07,backend/layers/canonical_v1/structure/l07_scenario_levels.py,backend/app/runtime/ndsp_completed_decisions_evidence_v35.py; backend/app/runtime/ndsp_public_governance_projection_v1.py; backend/layers/canonical_v1/layer_orchestrator_v2.py; backend/layers/canonical_v1/registry_lock.py; backend/layers/canonical_v1/structure/l07_scenario_levels.py,frontend/ndsp-user-portal-v50/config/layers.json; frontend/ndsp-user-portal-v50/public/ndsp-timeframe-layer-contract-v121.js; frontend/user-portal-vite/public/assets/ndsp-governance-44-v26.js; frontend/user-portal-vite/src/components/CompletedDecisionsPanelV37.jsx; frontend/user-portal-vite/src/main.jsx,nawaf511,nawaf511,CONFIRMED,"implementation=5, consumers=5, tests=1, docs=13, total=24",Verified in layer_orchestrator_v2.py and registry_lock.py.
L08,backend/layers/canonical_v1/structure/l08_nmp_confirmation.py,backend/app/runtime/ndsp_completed_decisions_evidence_v35.py; backend/app/runtime/ndsp_public_governance_projection_v1.py; backend/layers/canonical_v1/layer_orchestrator_v2.py; backend/layers/canonical_v1/registry_lock.py; backend/layers/canonical_v1/structure/l08_nmp_confirmation.py,frontend/ndsp-user-portal-v50/config/layers.json; frontend/ndsp-user-portal-v50/public/ndsp-timeframe-layer-contract-v121.js; frontend/user-portal-vite/public/assets/ndsp-governance-44-v26.js; frontend/user-portal-vite/src/components/CompletedDecisionsPanelV37.jsx; frontend/user-portal-vite/src/main.jsx,nawaf511,nawaf511,CONFIRMED,"implementation=5, consumers=5, tests=0, docs=13, total=23",Verified in layer_orchestrator_v2.py and registry_lock.py.
L09,backend/layers/canonical_v1/quality/l09_momentum_engine.py,backend/app/runtime/ndsp_public_governance_projection_v1.py; backend/layers/canonical_v1/layer_orchestrator_v2.py; backend/layers/canonical_v1/quality/l09_momentum_engine.py; backend/layers/canonical_v1/registry_lock.py,frontend/ndsp-user-portal-v50/config/layers.json; frontend/ndsp-user-portal-v50/public/ndsp-timeframe-layer-contract-v121.js; frontend/user-portal-vite/public/assets/ndsp-governance-44-v26.js; frontend/user-portal-vite/src/components/CompletedDecisionsPanelV37.jsx; frontend/user-portal-vite/src/main.jsx,nawaf511,nawaf511,CONFIRMED,"implementation=4, consumers=5, tests=0, docs=13, total=22",Verified in layer_orchestrator_v2.py and registry_lock.py.
L10,backend/layers/canonical_v1/quality/l10_liquidity_structure_confirmation.py,backend/app/runtime/ndsp_public_governance_projection_v1.py; backend/layers/canonical_v1/layer_orchestrator_v2.py; backend/layers/canonical_v1/quality/l10_liquidity_structure_confirmation.py; backend/layers/canonical_v1/registry_lock.py,frontend/ndsp-user-portal-v50/config/layers.json; frontend/ndsp-user-portal-v50/public/ndsp-timeframe-layer-contract-v121.js; frontend/user-portal-vite/public/assets/ndsp-governance-44-v26.js; frontend/user-portal-vite/src/components/CompletedDecisionsPanelV37.jsx; frontend/user-portal-vite/src/main.jsx,nawaf511,nawaf511,CONFIRMED,"implementation=4, consumers=5, tests=0, docs=13, total=22",Verified in layer_orchestrator_v2.py and registry_lock.py.
