capability_id,capability_name,description,source_or_algorithm,runtime_service,endpoint_or_contract,data_source,calculation_mode,user_role,screen,visible_component,coverage_state,data_state,canonicality,evidence_path,owner,last_verified_at,notes,origin_classification,capability_kind,confidence,frontend_consumers
CAP-0040ADBF81B3,Staging Schema.Canonical,Business or platform capability discovered from staging-schema.canonical in docs/05-runbooks/NDSP_COMMERCIAL_STAGING_SOURCE_DEPLOY_V1_12_20260730_102503/work/staging-schema.canonical.sql,docs/05-runbooks/NDSP_COMMERCIAL_STAGING_SOURCE_DEPLOY_V1_12_20260730_102503/work/staging-schema.canonical.sql::staging-schema.canonical,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,HTTP_API,CALCULATED_REAL,ADMIN,TRIAL,DISCOVERY_REQUIRED,UI_PARTIAL,REAL_LIVE,CANONICAL,docs/05-runbooks/NDSP_COMMERCIAL_STAGING_SOURCE_DEPLOY_V1_12_20260730_102503/work/staging-schema.canonical.sql,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=UNTRACKED;confidence=MEDIUM;business_keyword_score=12,UNTRACKED,ALGORITHM_OR_BUSINESS_LOGIC,MEDIUM,
CAP-0066A47FF328,Ndsp Public Decision Quality,Business or platform capability discovered from ndsp_public_decision_quality in backend/app/api/ndsp_public_quality_unique.py,backend/app/api/ndsp_public_quality_unique.py::ndsp_public_decision_quality,DISCOVERY_REQUIRED,GET /api/ndsp/public/decision-quality|GET /api/ndsp/public/decision-quality,UNKNOWN,DISCOVERY_REQUIRED,PUBLIC,UNMAPPED,DISCOVERY_REQUIRED,SOURCE_IDENTIFIED,UNKNOWN,REVIEW_REQUIRED,backend/app/api/ndsp_public_quality_unique.py,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=LOCAL_ONLY;confidence=HIGH;business_keyword_score=5,LOCAL_ONLY,ALGORITHM_OR_BUSINESS_LOGIC,HIGH,
CAP-00B5E1DF8F83,Ur,Business or platform capability discovered from ur in frontend/public-site/src/i18n/locales/ur.ts,frontend/public-site/src/i18n/locales/ur.ts::ur,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,POSTGRES,CALCULATED_REAL,PUBLIC,TRIAL,frontend/public-site/src/i18n/locales/ur.ts,UI_PARTIAL,REAL_LIVE,REVIEW_REQUIRED,frontend/public-site/src/i18n/locales/ur.ts,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=ON_MAIN;confidence=MEDIUM;business_keyword_score=2,ON_MAIN,ALGORITHM_OR_BUSINESS_LOGIC,MEDIUM,
CAP-00EA6A75DA18,User Key,Business or platform capability discovered from user_key in backend/services/ndsp-launch-control-v167/server.py,backend/services/ndsp-launch-control-v167/server.py::user_key,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,HTTP_API|JSON,DISCOVERY_REQUIRED,ADMIN,TRIAL,DISCOVERY_REQUIRED,UI_PARTIAL,MOCK_ONLY,REVIEW_REQUIRED,backend/services/ndsp-launch-control-v167/server.py,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=UNTRACKED;confidence=HIGH;business_keyword_score=7,UNTRACKED,ALGORITHM_OR_BUSINESS_LOGIC,HIGH,
CAP-00ED621D6D60,Ndsp Attach Dual Scenario Data Quality Public V1,Business or platform capability discovered from _ndsp_attach_dual_scenario_data_quality_public_v1 in backend/ndsp-live-decision-quality/server.py,backend/ndsp-live-decision-quality/server.py::_ndsp_attach_dual_scenario_data_quality_public_v1,ndsp-live-decision-quality.service,GET /api/decision/quality-live|GET /api/decision/quality-live/health|GET /api/decision/quality-live|GET /api/decision/quality-live/health,CSV|JSON,CALCULATED_REAL,PUBLIC,UNMAPPED,DISCOVERY_REQUIRED,SERVICE_CONNECTED,REAL_SNAPSHOT,REVIEW_REQUIRED,backend/ndsp-live-decision-quality/server.py,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=LOCAL_ONLY;confidence=HIGH;business_keyword_score=9,LOCAL_ONLY,ALGORITHM_OR_BUSINESS_LOGIC,HIGH,
CAP-016A23635297,Ndsp Admin Action Provided Key,Business or platform capability discovered from ndspAdminActionProvidedKey in backend/ndsp_admin_extension.cjs,backend/ndsp_admin_extension.cjs::ndspAdminActionProvidedKey,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,JSON|POSTGRES,CALCULATED_REAL,ADMIN,TRIAL,DISCOVERY_REQUIRED,UI_PARTIAL,REAL_SNAPSHOT,REVIEW_REQUIRED,backend/ndsp_admin_extension.cjs,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=ON_MAIN;confidence=HIGH;business_keyword_score=4,ON_MAIN,ALGORITHM_OR_BUSINESS_LOGIC,HIGH,
CAP-02136C1E6984,Quality Labels,Business or platform capability discovered from quality_labels in backend/ndsp-live-decision-quality/server.py,backend/ndsp-live-decision-quality/server.py::quality_labels,ndsp-live-decision-quality.service,GET /api/decision/quality-live|GET /api/decision/quality-live/health|GET /api/decision/quality-live|GET /api/decision/quality-live/health,CSV|JSON,CALCULATED_REAL,PUBLIC,UNMAPPED,DISCOVERY_REQUIRED,SERVICE_CONNECTED,REAL_SNAPSHOT,REVIEW_REQUIRED,backend/ndsp-live-decision-quality/server.py,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=LOCAL_ONLY;confidence=HIGH;business_keyword_score=9,LOCAL_ONLY,ALGORITHM_OR_BUSINESS_LOGIC,HIGH,
CAP-02AC4C12E6F4,Ndsp Public Summary V548,Runtime service with no confirmed source-to-UI mapping,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /opt/ndsp-public-summary-v548/app.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },ndsp-public-summary-v548.service,DISCOVERY_REQUIRED,UNKNOWN,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNMAPPED,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,REVIEW_REQUIRED,PR019_RUNTIME_EVIDENCE.json,nawaf511,2026-07-31T19:55:52Z,origin=RUNTIME_ONLY;confidence=MEDIUM,RUNTIME_ONLY,RUNTIME_SERVICE,MEDIUM,
CAP-02AF3B4484BA,Get User Columns,Business or platform capability discovered from getUserColumns in backend/auth_api/ndsp_register_compat_gateway.cjs,backend/auth_api/ndsp_register_compat_gateway.cjs::getUserColumns,ndsp-register-compat-gateway.service,DISCOVERY_REQUIRED,JSON|POSTGRES,CALCULATED_REAL,ADMIN,TRIAL,DISCOVERY_REQUIRED,UI_PARTIAL,REAL_SNAPSHOT,REVIEW_REQUIRED,backend/auth_api/ndsp_register_compat_gateway.cjs,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=UNTRACKED;confidence=HIGH;business_keyword_score=5,UNTRACKED,ALGORITHM_OR_BUSINESS_LOGIC,HIGH,
CAP-02BD37A79E71,Find User From Sessions,Business or platform capability discovered from findUserFromSessions in backend/ndsp-access-guard-final/server.js,backend/ndsp-access-guard-final/server.js::findUserFromSessions,ndsp-access-guard-final.service,DISCOVERY_REQUIRED,JSON|POSTGRES,CALCULATED_REAL,ADMIN,TRIAL,DISCOVERY_REQUIRED,UI_PARTIAL,REAL_SNAPSHOT,REVIEW_REQUIRED,backend/ndsp-access-guard-final/server.js,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=LOCAL_ONLY;confidence=HIGH;business_keyword_score=5,LOCAL_ONLY,ALGORITHM_OR_BUSINESS_LOGIC,HIGH,
CAP-03073B90064B,Cot Intelligence Result,Business or platform capability discovered from CotIntelligenceResult in backend/app/support_layers/cot/cot_contracts.py,backend/app/support_layers/cot/cot_contracts.py::CotIntelligenceResult,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,DISCOVERY_REQUIRED,USER_OR_ADMIN,REPORTS,DISCOVERY_REQUIRED,UI_PARTIAL,UNKNOWN,REVIEW_REQUIRED,backend/app/support_layers/cot/cot_contracts.py,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=LOCAL_ONLY;confidence=HIGH;business_keyword_score=2,LOCAL_ONLY,ALGORITHM_OR_BUSINESS_LOGIC,HIGH,
CAP-033B90B3A316,Nowpayments Create Alias,API capability discovered at POST /api/payments/nowpayments/subscription/create,backend/app/api/compat/nowpayments_create_alias.py,DISCOVERY_REQUIRED,POST /api/payments/nowpayments/subscription/create,JSON|POSTGRES,CALCULATED_REAL,AUTHENTICATED_USER,SUBSCRIPTION,DISCOVERY_REQUIRED,API_CONNECTED,REAL_SNAPSHOT,REVIEW_REQUIRED,backend/app/api/compat/nowpayments_create_alias.py,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=LOCAL_ONLY;confidence=HIGH;frontend_consumers=0,LOCAL_ONLY,API_ENDPOINT,HIGH,
CAP-045CDA0A73DF,Narrative Engine,Business or platform capability discovered from NarrativeEngine in backend/app/support_layers/scenario/scenario_engine.py,backend/app/support_layers/scenario/scenario_engine.py::NarrativeEngine,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,DISCOVERY_REQUIRED,ADMIN,ADMIN,DISCOVERY_REQUIRED,UI_PARTIAL,UNKNOWN,REVIEW_REQUIRED,backend/app/support_layers/scenario/scenario_engine.py,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=LOCAL_ONLY;confidence=HIGH;business_keyword_score=11,LOCAL_ONLY,ALGORITHM_OR_BUSINESS_LOGIC,HIGH,
CAP-047A94BA516E,Guard Decision Output,Business or platform capability discovered from guard_decision_output in apps/ndsp-governance-bridge/policies/governance_runtime.py,apps/ndsp-governance-bridge/policies/governance_runtime.py::guard_decision_output,ndsp-governance-bridge.service,DISCOVERY_REQUIRED,UNKNOWN,DISCOVERY_REQUIRED,PUBLIC,UNMAPPED,DISCOVERY_REQUIRED,SERVICE_CONNECTED,UNKNOWN,REVIEW_REQUIRED,apps/ndsp-governance-bridge/policies/governance_runtime.py,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=LOCAL_ONLY;confidence=HIGH;business_keyword_score=10,LOCAL_ONLY,ALGORITHM_OR_BUSINESS_LOGIC,HIGH,
CAP-053711507BDF,Ndsp Canonical User Portal V86,Business or platform capability discovered from ndsp-canonical-user-portal-v86 in backups/retire-portal-v50-v1/20260727_000318/files/var/www/ndsp-my/ndsp-canonical-user-portal-v86.js,backups/retire-portal-v50-v1/20260727_000318/files/var/www/ndsp-my/ndsp-canonical-user-portal-v86.js::ndsp-canonical-user-portal-v86,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,HTTP_API|JSON,CALCULATED_REAL,AUTHENTICATED_USER,LOGIN,DISCOVERY_REQUIRED,UI_PARTIAL,REAL_LIVE,CANONICAL,backups/retire-portal-v50-v1/20260727_000318/files/var/www/ndsp-my/ndsp-canonical-user-portal-v86.js,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=UNTRACKED;confidence=MEDIUM;business_keyword_score=3,UNTRACKED,ALGORITHM_OR_BUSINESS_LOGIC,MEDIUM,
CAP-057725B0553C,App Dl Bvg88,Business or platform capability discovered from app-DL-BVG88 in backups/frontend/portal-next_before_v52_0_4_20260725_180559/assets/app-DL-BVG88.js,backups/frontend/portal-next_before_v52_0_4_20260725_180559/assets/app-DL-BVG88.js::app-DL-BVG88,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,HTTP_API|JSON,DISCOVERY_REQUIRED,USER_OR_ADMIN,REPORTS,DISCOVERY_REQUIRED,UI_PARTIAL,MOCK_ONLY,REVIEW_REQUIRED,backups/frontend/portal-next_before_v52_0_4_20260725_180559/assets/app-DL-BVG88.js,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=UNTRACKED;confidence=MEDIUM;business_keyword_score=3,UNTRACKED,ALGORITHM_OR_BUSINESS_LOGIC,MEDIUM,
CAP-05B24BFAEF73,Password Reset Server.Before,API capability discovered at POST /api/auth/forgot-password,backups/auth-recovery-true-source-fix-v7/20260727_195558/password-reset-server.before.js,DISCOVERY_REQUIRED,POST /api/auth/forgot-password,JSON|POSTGRES,CALCULATED_REAL,AUTHENTICATED_USER,PASSWORD_RESET,backups/clean-forgot-password-page-v11/20260727_201409/canonical-forgot.before.html|backups/clean-forgot-password-page-v11/20260727_201409/live-forgot.before.html|frontend/auth-recovery/forgot-password.html,UI_PARTIAL,REAL_SNAPSHOT,REVIEW_REQUIRED,backups/auth-recovery-true-source-fix-v7/20260727_195558/password-reset-server.before.js,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=UNTRACKED;confidence=HIGH;frontend_consumers=3,UNTRACKED,API_ENDPOINT,HIGH,backups/clean-forgot-password-page-v11/20260727_201409/canonical-forgot.before.html|backups/clean-forgot-password-page-v11/20260727_201409/live-forgot.before.html|frontend/auth-recovery/forgot-password.html
CAP-0622719B013B,Ndsp Public Quality Unique,API capability discovered at GET /api/ndsp/public/decision-quality,backend/app/api/ndsp_public_quality_unique.py,DISCOVERY_REQUIRED,GET /api/ndsp/public/decision-quality,UNKNOWN,CALCULATED_REAL,PUBLIC,UNMAPPED,DISCOVERY_REQUIRED,API_CONNECTED,UNKNOWN,REVIEW_REQUIRED,backend/app/api/ndsp_public_quality_unique.py,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=LOCAL_ONLY;confidence=HIGH;frontend_consumers=0,LOCAL_ONLY,API_ENDPOINT,HIGH,
CAP-071618E88E83,Frontend Contract,API capability discovered at GET /me/entitlements,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /me/entitlements,UNKNOWN,CALCULATED_REAL,ADMIN,TRIAL,DISCOVERY_REQUIRED,API_CONNECTED,UNKNOWN,REVIEW_REQUIRED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=LOCAL_ONLY;confidence=HIGH;frontend_consumers=0,LOCAL_ONLY,API_ENDPOINT,HIGH,
CAP-0780A222F373,Ndsp Telegram Emit V178,Business or platform capability discovered from ndsp_telegram_emit_v178 in scripts/telegram/ndsp_telegram_emit_v178.sh,scripts/telegram/ndsp_telegram_emit_v178.sh::ndsp_telegram_emit_v178,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,JSON,CALCULATED_REAL,USER_OR_ADMIN,UNMAPPED,DISCOVERY_REQUIRED,SOURCE_IDENTIFIED,REAL_SNAPSHOT,REVIEW_REQUIRED,scripts/telegram/ndsp_telegram_emit_v178.sh,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=UNTRACKED;confidence=MEDIUM;business_keyword_score=1,UNTRACKED,ALGORITHM_OR_BUSINESS_LOGIC,MEDIUM,
CAP-07B8F22B01F0,Postgresql@16 Main,Runtime service with no confirmed source-to-UI mapping,{ path=/usr/bin/pg_ctlcluster ; argv[]=/usr/bin/pg_ctlcluster --skip-systemctl-redirect 16-main start ; ignore_errors=yes ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },postgresql@16-main.service,DISCOVERY_REQUIRED,UNKNOWN,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNMAPPED,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,REVIEW_REQUIRED,PR019_RUNTIME_EVIDENCE.json,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=RUNTIME_ONLY;confidence=MEDIUM,RUNTIME_ONLY,RUNTIME_SERVICE,MEDIUM,
CAP-0809C6D5CA95,Password Reset Server.Before,API capability discovered at POST /api/auth/reset-password,backups/auth-recovery-source-and-route-fix-v5/20260727_134806/password-reset-server.before.js,DISCOVERY_REQUIRED,POST /api/auth/reset-password,JSON|POSTGRES,CALCULATED_REAL,AUTHENTICATED_USER,PASSWORD_RESET,frontend/auth-recovery/reset-password.html,UI_PARTIAL,REAL_SNAPSHOT,REVIEW_REQUIRED,backups/auth-recovery-source-and-route-fix-v5/20260727_134806/password-reset-server.before.js,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=UNTRACKED;confidence=HIGH;frontend_consumers=1,UNTRACKED,API_ENDPOINT,HIGH,frontend/auth-recovery/reset-password.html
CAP-08273C63D4D2,Quality Result,Business or platform capability discovered from QualityResult in backend/app/support_layers/quality/decision_quality_stack.py,backend/app/support_layers/quality/decision_quality_stack.py::QualityResult,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,DISCOVERY_REQUIRED,USER_OR_ADMIN,UNMAPPED,DISCOVERY_REQUIRED,SOURCE_IDENTIFIED,UNKNOWN,REVIEW_REQUIRED,backend/app/support_layers/quality/decision_quality_stack.py,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=LOCAL_ONLY;confidence=HIGH;business_keyword_score=7,LOCAL_ONLY,ALGORITHM_OR_BUSINESS_LOGIC,HIGH,
CAP-082D8F1768EE,Schema,Business or platform capability discovered from schema in backend/auth_api/schema.sql,backend/auth_api/schema.sql::schema,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,DISCOVERY_REQUIRED,AUTHENTICATED_USER,TRIAL,DISCOVERY_REQUIRED,UI_PARTIAL,UNKNOWN,REVIEW_REQUIRED,backend/auth_api/schema.sql,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=LOCAL_ONLY;confidence=MEDIUM;business_keyword_score=3,LOCAL_ONLY,ALGORITHM_OR_BUSINESS_LOGIC,MEDIUM,
CAP-082F5E315BA3,Server,API capability discovered at GET /api/admin/telegram-routing/status,backend/server.js,DISCOVERY_REQUIRED,GET /api/admin/telegram-routing/status,JSON,CALCULATED_REAL,ADMIN,TRIAL,DISCOVERY_REQUIRED,API_CONNECTED,REAL_SNAPSHOT,REVIEW_REQUIRED,backend/server.js,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=LOCAL_MODIFIED;confidence=HIGH;frontend_consumers=0,LOCAL_MODIFIED,API_ENDPOINT,HIGH,
CAP-083D4BAC7861,Pl,Business or platform capability discovered from pl in frontend/public-site/src/i18n/locales/pl.ts,frontend/public-site/src/i18n/locales/pl.ts::pl,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,POSTGRES,CALCULATED_REAL,ADMIN,TRIAL,frontend/public-site/src/i18n/locales/pl.ts,UI_PARTIAL,REAL_LIVE,REVIEW_REQUIRED,frontend/public-site/src/i18n/locales/pl.ts,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=ON_MAIN;confidence=MEDIUM;business_keyword_score=3,ON_MAIN,ALGORITHM_OR_BUSINESS_LOGIC,MEDIUM,
CAP-0843B421B752,Ndsp User Login Gateway,API capability discovered at POST /api/auth/2fa/confirm,backend/auth_api/ndsp_user_login_gateway.cjs,ndsp-user-login.service,POST /api/auth/2fa/confirm,JSON,CALCULATED_REAL,ADMIN,TRIAL,DISCOVERY_REQUIRED,API_CONNECTED,REAL_SNAPSHOT,REVIEW_REQUIRED,backend/auth_api/ndsp_user_login_gateway.cjs,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=LOCAL_ONLY;confidence=HIGH;frontend_consumers=0,LOCAL_ONLY,API_ENDPOINT,HIGH,
CAP-08CD720F485E,Apply Admin Action,Business or platform capability discovered from apply_admin_action in backend/services/ndsp-launch-control-v167/server.py,backend/services/ndsp-launch-control-v167/server.py::apply_admin_action,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,HTTP_API|JSON,DISCOVERY_REQUIRED,ADMIN,TRIAL,DISCOVERY_REQUIRED,UI_PARTIAL,MOCK_ONLY,REVIEW_REQUIRED,backend/services/ndsp-launch-control-v167/server.py,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=UNTRACKED;confidence=HIGH;business_keyword_score=7,UNTRACKED,ALGORITHM_OR_BUSINESS_LOGIC,HIGH,
CAP-08E20E709D83,Path Needs Governance,Business or platform capability discovered from path_needs_governance in backend/app/ndsp_governance/decision_output_policy.py,backend/app/ndsp_governance/decision_output_policy.py::path_needs_governance,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,JSON,CALCULATED_REAL,ADMIN,SUBSCRIPTION,DISCOVERY_REQUIRED,UI_PARTIAL,REAL_SNAPSHOT,REVIEW_REQUIRED,backend/app/ndsp_governance/decision_output_policy.py,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=LOCAL_ONLY;confidence=HIGH;business_keyword_score=14,LOCAL_ONLY,ALGORITHM_OR_BUSINESS_LOGIC,HIGH,
CAP-096B349839D5,El,Business or platform capability discovered from el in frontend/public-site/src/i18n/locales/el.ts,frontend/public-site/src/i18n/locales/el.ts::el,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,POSTGRES,CALCULATED_REAL,PUBLIC,TRIAL,frontend/public-site/src/i18n/locales/el.ts,UI_PARTIAL,REAL_LIVE,REVIEW_REQUIRED,frontend/public-site/src/i18n/locales/el.ts,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=ON_MAIN;confidence=MEDIUM;business_keyword_score=2,ON_MAIN,ALGORITHM_OR_BUSINESS_LOGIC,MEDIUM,
CAP-097DF3E4D654,Server,API capability discovered at POST /api/admin/telegram-routing/test,backend/server.js,DISCOVERY_REQUIRED,POST /api/admin/telegram-routing/test,JSON,CALCULATED_REAL,ADMIN,TRIAL,DISCOVERY_REQUIRED,API_CONNECTED,REAL_SNAPSHOT,REVIEW_REQUIRED,backend/server.js,DISCOVERY_REQUIRED,2026-07-31T19:55:52Z,origin=LOCAL_MODIFIED;confidence=HIGH;frontend_consumers=0,LOCAL_MODIFIED,API_ENDPOINT,HIGH,
