capability_id,capability_name,semantic_cluster_id,gap_type,source_or_algorithm,runtime_service,endpoint_or_contract,recommended_screen,required_action,priority,capability_kind,origin_classification,data_state,source_exists_on_main,source_exists_locally,recommended_feature,recommended_components
CAP-235EF538DEF9,Auth Reset,CLUSTER-FDFBE9985B5F63E6,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py::auth_reset,DISCOVERY_REQUIRED,DELETE /ME/WATCHLIST/{ASSET_ID}|GET /ACCOUNT/TRIAL|GET /ADMIN/HEALTH|GET /ADMIN/LAYERS|GET /ADMIN/PAYMENTS|GET /ADMIN/REGISTRATIONS|GET /ADMIN/TRIALS|GET /ASSETS|GET /ASSETS/{ASSET_ID}/CHART|GET /ASSETS/{ASSET_ID}/DECISION|GET /AUTH/MAGIC-LINK/VERIFY|GET /BRIEF/TODAY|GET /CONTRACT/STATUS|GET /MARKETS|GET /ME/ALERT-PREFS|GET /ME/DASHBOARD|GET /ME/ENTITLEMENTS|GET /ME/SUBSCRIPTION|GET /ME/WATCHLIST|GET /PACKAGES|POST /ACCOUNT/ACTIVATE|POST /ADMIN/PAYMENTS/{PAYMENT_ID}/APPROVE|POST /ADMIN/PAYMENTS/{PAYMENT_ID}/REJECT|POST /ADMIN/REGISTRATIONS/{REGISTRATION_ID}/DECISION|POST /AUTH/2FA/VERIFY|POST /AUTH/FORGOT|POST /AUTH/LOGIN|POST /AUTH/MAGIC-LINK|POST /AUTH/REGISTER|POST /AUTH/RESET|POST /ME/CHANNELS/EMAIL/TEST|POST /ME/CHANNELS/TELEGRAM/LINK|POST /ME/CHANNELS/TELEGRAM/VERIFY|POST /ME/WATCHLIST|POST /PAYMENTS/CHECKOUT|POST /PAYMENTS/WEBHOOK|PUT /ME/ALERT-PREFS,AUTHENTICATION,Verify real data source and freshness semantics,P0_CRITICAL,ALGORITHM_OR_BUSINESS_LOGIC,LOCAL_ONLY,UNKNOWN,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
CAP-A5C181808EF6,Frontend Contract,CLUSTER-0AFD7CA382703AB5,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /AUTH/2FA/VERIFY,AUTHENTICATION,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
CAP-2CD69A7EA838,Frontend Contract,CLUSTER-3B2D0C744090CBFD,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /AUTH/REGISTER,AUTHENTICATION,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
CAP-1736E39D1CE4,Frontend Contract,CLUSTER-40EAC1E50F40B29A,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /AUTH/MAGIC-LINK,AUTHENTICATION,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
CAP-C8C94E7A8122,Frontend Contract,CLUSTER-A4184781CB31473F,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /AUTH/LOGIN,AUTHENTICATION,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
CAP-55015F233F5A,Frontend Contract,CLUSTER-ADEC92F5352C095D,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /AUTH/MAGIC-LINK/VERIFY,AUTHENTICATION,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
CAP-D0B86CD5E331,Frontend Contract,CLUSTER-CC1E47237D1C817F,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /AUTH/RESET,AUTHENTICATION,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
CAP-862CD297F1FD,Frontend Contract,CLUSTER-E488ABB058037AED,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /AUTH/FORGOT,AUTHENTICATION,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
CAP-2B9AC68DB1D6,Assert No Decision Mutation,CLUSTER-4667012B1A9E34A8,API_CONTRACT_UNVERIFIED,backend/app/support_layers/scenario/scenario_engine.py::assert_no_decision_mutation,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,DECISION_ROOM,Define or confirm API/integration contract,P0_CRITICAL,ALGORITHM_OR_BUSINESS_LOGIC,LOCAL_ONLY,UNKNOWN,false,true,Decision intelligence workspace,DecisionSummary|SignalPanel|ScenarioMatrix|NarrativeCard
CAP-2B9AC68DB1D6,Assert No Decision Mutation,CLUSTER-4667012B1A9E34A8,DATA_STATE_UNVERIFIED,backend/app/support_layers/scenario/scenario_engine.py::assert_no_decision_mutation,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,DECISION_ROOM,Verify real data source and freshness semantics,P0_CRITICAL,ALGORITHM_OR_BUSINESS_LOGIC,LOCAL_ONLY,UNKNOWN,false,true,Decision intelligence workspace,DecisionSummary|SignalPanel|ScenarioMatrix|NarrativeCard
