capability_id,capability_name,semantic_cluster_id,gap_type,priority,recommended_screen,recommended_feature,source_or_algorithm,source_location,remediation_status,remediation_value,evidence_type,evidence_detail,confidence,human_confirmation_required,ui_complete
CAP-235EF538DEF9,Auth Reset,CLUSTER-FDFBE9985B5F63E6,DATA_STATE_UNVERIFIED,P0_CRITICAL,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py::auth_reset,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-A5C181808EF6,Frontend Contract,CLUSTER-0AFD7CA382703AB5,DATA_STATE_UNVERIFIED,P0_CRITICAL,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-2CD69A7EA838,Frontend Contract,CLUSTER-3B2D0C744090CBFD,DATA_STATE_UNVERIFIED,P0_CRITICAL,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-1736E39D1CE4,Frontend Contract,CLUSTER-40EAC1E50F40B29A,DATA_STATE_UNVERIFIED,P0_CRITICAL,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-C8C94E7A8122,Frontend Contract,CLUSTER-A4184781CB31473F,DATA_STATE_UNVERIFIED,P0_CRITICAL,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-55015F233F5A,Frontend Contract,CLUSTER-ADEC92F5352C095D,DATA_STATE_UNVERIFIED,P0_CRITICAL,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-D0B86CD5E331,Frontend Contract,CLUSTER-CC1E47237D1C817F,DATA_STATE_UNVERIFIED,P0_CRITICAL,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-862CD297F1FD,Frontend Contract,CLUSTER-E488ABB058037AED,DATA_STATE_UNVERIFIED,P0_CRITICAL,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-2B9AC68DB1D6,Assert No Decision Mutation,CLUSTER-4667012B1A9E34A8,API_CONTRACT_UNVERIFIED,P0_CRITICAL,DECISION_ROOM,Decision intelligence workspace,backend/app/support_layers/scenario/scenario_engine.py::assert_no_decision_mutation,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-2B9AC68DB1D6,Assert No Decision Mutation,CLUSTER-4667012B1A9E34A8,DATA_STATE_UNVERIFIED,P0_CRITICAL,DECISION_ROOM,Decision intelligence workspace,backend/app/support_layers/scenario/scenario_engine.py::assert_no_decision_mutation,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
