capability_id,capability_name,remaining_missing_evidence,declared_endpoint_contract,runtime_service,data_source,data_state,source_path,candidate_route_count,top_candidate_routes
CAP-4FF90CCC6DFE,Tdl V2 Policy Admin,REAL_DATA,GET /policy,ndsp-governance-bridge.service,UNKNOWN,UNKNOWN,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,10,GET /policy@apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py:98[score=200]|GET /api/admin/timing_model-v2/auth-debug@apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py:77[score=140]|GET /api/admin/timing_model-v2/policy@apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py:98[score=140]|GET /auth-debug@apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py:77[score=140]|GET /@server.js:8[score=60]|GET /api/admin-ui/governance@backend/ndsp_admin_ui_proxy.cjs:669[score=30]|GET /api/admin-actions/users/action/health@backend/ndsp_admin_actions_bypass_old_middleware.cjs:225[score=20]|GET /api/admin-ui/alerts@backend/ndsp_admin_ui_proxy.cjs:486[score=20]|GET /api/admin-ui/backups@backend/ndsp_admin_ui_proxy.cjs:648[score=20]|GET /api/admin-ui/health@backend/ndsp_admin_ui_proxy.cjs:352[score=20]
CAP-8A9DD9B6E7D5,Tdl V2 Policy Admin,REAL_DATA,GET /auth-debug,ndsp-governance-bridge.service,UNKNOWN,UNKNOWN,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,10,GET /auth-debug@apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py:77[score=220]|GET /api/admin/timing_model-v2/auth-debug@apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py:77[score=160]|GET /api/admin/timing_model-v2/policy@apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py:98[score=140]|GET /policy@apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py:98[score=140]|GET /@server.js:8[score=60]|GET /api/admin-ui/governance@backend/ndsp_admin_ui_proxy.cjs:669[score=30]|GET /api/admin-actions/users/action/health@backend/ndsp_admin_actions_bypass_old_middleware.cjs:225[score=20]|GET /api/admin-ui/alerts@backend/ndsp_admin_ui_proxy.cjs:486[score=20]|GET /api/admin-ui/backups@backend/ndsp_admin_ui_proxy.cjs:648[score=20]|GET /api/admin-ui/health@backend/ndsp_admin_ui_proxy.cjs:352[score=20]
CAP-15C56B60B4B0,Ndsp User Login Gateway,ENDPOINT,POST /api/auth/logout,ndsp-user-login.service,JSON,REAL_SNAPSHOT,backend/ndsp_user_login_gateway.cjs,10,GET /api/auth/2fa/status@backend/ndsp_user_login_gateway.cjs:407[score=120]|GET /api/auth/login/health@backend/ndsp_user_login_gateway.cjs:229[score=120]|GET /api/auth/session@backend/ndsp_user_login_gateway.cjs:397[score=120]|GET /@server.js:8[score=60]|GET /api/user-dashboard/saas-policy@backend/ndsp_user_dashboard_gateway.cjs:462[score=50]|GET /group@backend/ndsp_user_dashboard_gateway.cjs:416[score=50]|GET /api/account/trial@backend/ndsp_api_compat_gateway.cjs:94[score=40]|GET /api/alerts/status@backend/ndsp_api_compat_gateway.cjs:192[score=40]|GET /api/markets@backend/ndsp_api_compat_gateway.cjs:165[score=40]|GET /api/packages@backend/ndsp_api_compat_gateway.cjs:135[score=40]
CAP-214521E6EBD1,Ndsp User Login Gateway,ENDPOINT,POST /api/auth/login,ndsp-user-login.service,JSON,REAL_SNAPSHOT,backend/ndsp_user_login_gateway.cjs,10,GET /api/auth/2fa/status@backend/ndsp_user_login_gateway.cjs:407[score=120]|GET /api/auth/login/health@backend/ndsp_user_login_gateway.cjs:229[score=120]|GET /api/auth/session@backend/ndsp_user_login_gateway.cjs:397[score=120]|GET /@server.js:8[score=60]|GET /api/user-dashboard/saas-policy@backend/ndsp_user_dashboard_gateway.cjs:462[score=50]|GET /group@backend/ndsp_user_dashboard_gateway.cjs:416[score=50]|GET /api/account/trial@backend/ndsp_api_compat_gateway.cjs:94[score=40]|GET /api/alerts/status@backend/ndsp_api_compat_gateway.cjs:192[score=40]|GET /api/markets@backend/ndsp_api_compat_gateway.cjs:165[score=40]|GET /api/packages@backend/ndsp_api_compat_gateway.cjs:135[score=40]
CAP-242D8324FAD9,Ndsp User Login Gateway,ENDPOINT,POST /api/auth/2fa/setup/skip,ndsp-user-login.service,JSON,REAL_SNAPSHOT,backend/ndsp_user_login_gateway.cjs,10,GET /api/auth/2fa/status@backend/ndsp_user_login_gateway.cjs:407[score=130]|GET /api/auth/login/health@backend/ndsp_user_login_gateway.cjs:229[score=120]|GET /api/auth/session@backend/ndsp_user_login_gateway.cjs:397[score=120]|GET /@server.js:8[score=60]|GET /api/user-dashboard/saas-policy@backend/ndsp_user_dashboard_gateway.cjs:462[score=50]|GET /group@backend/ndsp_user_dashboard_gateway.cjs:416[score=50]|GET /api/account/trial@backend/ndsp_api_compat_gateway.cjs:94[score=40]|GET /api/alerts/status@backend/ndsp_api_compat_gateway.cjs:192[score=40]|GET /api/markets@backend/ndsp_api_compat_gateway.cjs:165[score=40]|GET /api/packages@backend/ndsp_api_compat_gateway.cjs:135[score=40]
CAP-3A5ED3DB0C0D,Risk Label,ENDPOINT,DISCOVERY_REQUIRED,ndsp-scenario-levels-adapter.service,UNKNOWN,REAL_LIVE,backend/app/support_layers/scenario/scenario_engine.py,10,GET /risk_state@backend/app/support_layers/scenario/scenario_engine.py:105[score=100]|GET /confidence@backend/app/support_layers/scenario/scenario_engine.py:103[score=90]|GET /decision@backend/app/support_layers/scenario/scenario_engine.py:97[score=90]|GET /decision@backend/app/support_layers/scenario/scenario_engine.py:191[score=90]|GET /decision@backend/app/support_layers/scenario/scenario_engine.py:192[score=90]|GET /decision_state@backend/app/support_layers/scenario/scenario_engine.py:106[score=90]|GET /direction@backend/app/support_layers/scenario/scenario_engine.py:99[score=90]|GET /execution_allowed@backend/app/support_layers/scenario/scenario_engine.py:107[score=90]|GET /grade@backend/app/support_layers/scenario/scenario_engine.py:104[score=90]|GET /timing_controller@backend/app/support_layers/scenario/scenario_engine.py:108[score=90]
CAP-3B89863B2015,Ndsp User Login Gateway,ENDPOINT,POST /api/auth/2fa/setup/start,ndsp-user-login.service,JSON,REAL_SNAPSHOT,backend/ndsp_user_login_gateway.cjs,10,GET /api/auth/2fa/status@backend/ndsp_user_login_gateway.cjs:407[score=130]|GET /api/auth/login/health@backend/ndsp_user_login_gateway.cjs:229[score=120]|GET /api/auth/session@backend/ndsp_user_login_gateway.cjs:397[score=120]|GET /@server.js:8[score=60]|GET /api/user-dashboard/saas-policy@backend/ndsp_user_dashboard_gateway.cjs:462[score=50]|GET /group@backend/ndsp_user_dashboard_gateway.cjs:416[score=50]|GET /api/account/trial@backend/ndsp_api_compat_gateway.cjs:94[score=40]|GET /api/alerts/status@backend/ndsp_api_compat_gateway.cjs:192[score=40]|GET /api/markets@backend/ndsp_api_compat_gateway.cjs:165[score=40]|GET /api/packages@backend/ndsp_api_compat_gateway.cjs:135[score=40]
CAP-3D9086A829ED,Ndsp Admin Ui Proxy,ENDPOINT,POST /api/admin-ui/action,ndsp-admin-ui-proxy.service,JSON,REAL_SNAPSHOT,backend/ndsp_admin_ui_proxy.cjs,10,GET /api/admin-ui/alerts@backend/ndsp_admin_ui_proxy.cjs:486[score=100]|GET /api/admin-ui/backups@backend/ndsp_admin_ui_proxy.cjs:648[score=100]|GET /api/admin-ui/governance@backend/ndsp_admin_ui_proxy.cjs:669[score=100]|GET /api/admin-ui/health@backend/ndsp_admin_ui_proxy.cjs:352[score=100]|GET /api/admin-ui/markets@backend/ndsp_admin_ui_proxy.cjs:468[score=100]|GET /api/admin-ui/packages@backend/ndsp_admin_ui_proxy.cjs:448[score=100]|GET /api/admin-ui/payments@backend/ndsp_admin_ui_proxy.cjs:421[score=100]|GET /api/admin-ui/summary@backend/ndsp_admin_ui_proxy.cjs:368[score=100]|GET /api/admin-ui/trials@backend/ndsp_admin_ui_proxy.cjs:430[score=100]|GET /api/admin-ui/users@backend/ndsp_admin_ui_proxy.cjs:395[score=100]
CAP-4B75FD38F852,Ndsp Admin Ui Proxy,ENDPOINT,POST /api/admin-ui/alerts/test,ndsp-admin-ui-proxy.service,JSON,REAL_SNAPSHOT,backend/ndsp_admin_ui_proxy.cjs,10,GET /api/admin-ui/alerts@backend/ndsp_admin_ui_proxy.cjs:486[score=170]|GET /api/admin-ui/backups@backend/ndsp_admin_ui_proxy.cjs:648[score=100]|GET /api/admin-ui/governance@backend/ndsp_admin_ui_proxy.cjs:669[score=100]|GET /api/admin-ui/health@backend/ndsp_admin_ui_proxy.cjs:352[score=100]|GET /api/admin-ui/markets@backend/ndsp_admin_ui_proxy.cjs:468[score=100]|GET /api/admin-ui/packages@backend/ndsp_admin_ui_proxy.cjs:448[score=100]|GET /api/admin-ui/payments@backend/ndsp_admin_ui_proxy.cjs:421[score=100]|GET /api/admin-ui/summary@backend/ndsp_admin_ui_proxy.cjs:368[score=100]|GET /api/admin-ui/trials@backend/ndsp_admin_ui_proxy.cjs:430[score=100]|GET /api/admin-ui/users@backend/ndsp_admin_ui_proxy.cjs:395[score=100]
CAP-4FCAA631BA18,Ndsp Admin Actions Bypass Old Middleware,ENDPOINT,POST /api/admin-actions/users/action,ndsp-admin-actions.service,JSON,REAL_SNAPSHOT,backend/ndsp_admin_actions_bypass_old_middleware.cjs,10,GET /api/admin-actions/users/action/health@backend/ndsp_admin_actions_bypass_old_middleware.cjs:225[score=150]|GET /api/admin/users/action/health@backend/ndsp_admin_actions_authoritative.cjs:205[score=70]|GET /@server.js:8[score=60]|GET /api/admin-ui/users@backend/ndsp_admin_ui_proxy.cjs:395[score=50]|GET /api/admin/users@backend/ndsp_admin_extension.cjs:233[score=50]|GET /api/admin-ui/alerts@backend/ndsp_admin_ui_proxy.cjs:486[score=40]|GET /api/admin-ui/backups@backend/ndsp_admin_ui_proxy.cjs:648[score=40]|GET /api/admin-ui/governance@backend/ndsp_admin_ui_proxy.cjs:669[score=40]|GET /api/admin-ui/health@backend/ndsp_admin_ui_proxy.cjs:352[score=40]|GET /api/admin-ui/markets@backend/ndsp_admin_ui_proxy.cjs:468[score=40]
