RelativePath	SizeBytes	ModifiedUTC	SHA256
00_INPUTS/file_paths.lst	48694	2026-08-05T11:45:16Z	87444d0a873f52e1414c59d8f03c7eacd0d845bab4b6b6bdc39afbc8a63a4e5e
01_INVENTORY/FILE_INVENTORY.tsv	142788	2026-08-05T11:45:16Z	0820f4d660444333fb330a9b6b4228cab17377491a474e1316c4465d37baa018
01_INVENTORY/TOOL_INVENTORY.tsv	1496	2026-08-05T11:44:56Z	824220046888f930729765f8e475c8428bc8a771618eb8603565882c3927236d
01_INVENTORY/git_log_recent.txt	5961	2026-08-05T11:45:17Z	4a14dd008f4bf131a26600277dd870e310bcf615d6db206768e0b313f863b9b5
01_INVENTORY/git_ls_files.txt	32962	2026-08-05T11:45:17Z	c85337dc75baa35ed39b67fb28bb21c6d8b30146fd5374760ac1525c188eb0a0
01_INVENTORY/git_status.txt	8250	2026-08-05T11:45:16Z	93535f21741ae4d5eac204e21d562e414517e0696b9b4db154048404baea0623
02_EVIDENCE/EVIDENCE_INDEX.tsv	5105922	2026-08-05T11:45:29Z	08705585363b41680f379bc8eabed45873ed38761fb0c179a2f330d54cb4f852
03_DISCOVERY/API_DISCOVERY.tsv	325955	2026-08-05T11:45:28Z	ca47ea0d094cda6fec6e2d1008f4dd81681ed8f0a0b4a4fd059019d2a17d9403
03_DISCOVERY/CAPABILITY_DISCOVERY.tsv	206838	2026-08-05T11:45:28Z	5132bf45d1d0b7c211d1d1180a77a4aa8d6a9eb5ea4265dfcd2bb15d66727f98
03_DISCOVERY/CORE_EXPANDED_MAPPING.tsv	541049	2026-08-05T11:45:29Z	7ccb81f44b621770a68b9388f41eacaa782089af2fdff1bb194645584c190c3e
03_DISCOVERY/DATA_DISCOVERY.tsv	210463	2026-08-05T11:45:28Z	6a716da0335719d8491bec36ef185c21a439af5d643f324474cdaf3d98955f5e
03_DISCOVERY/ENGINE_DISCOVERY.tsv	520064	2026-08-05T11:45:28Z	9237894a7dc3b22d60614a73eb6ca4b0a66d667982d7f218ee79611a7a7b4904
03_DISCOVERY/GOVERNANCE_DISCOVERY.tsv	518670	2026-08-05T11:45:29Z	de44253785684b7cf2eb049cb9957d5737d9538a8222feaa3ecdde897753ab78
03_DISCOVERY/INTEGRATION_DISCOVERY.tsv	615797	2026-08-05T11:45:29Z	138d12e7d7574d951d1394eb7eb3ac2ec8b4be8ffdb9a912607143960ca99e8c
03_DISCOVERY/LAYER_DISCOVERY.tsv	446322	2026-08-05T11:45:28Z	b95890878a490b5692b54396d584453200c7b747f18c23f1d7538d1d4e1f1ce0
03_DISCOVERY/ROUTE_INVENTORY.tsv	240944	2026-08-05T11:45:30Z	d64329473a009256cef3cfeb5fcd47089a5250a77bc0423aafa62ddfece7c76e
03_DISCOVERY/RTL_LTR_DISCOVERY.tsv	232006	2026-08-05T11:45:29Z	fda3e44353edff66dc9dcd91bea144c13c98c9aef283f03b05dfe5d7cf40cbac
03_DISCOVERY/SECURITY_DISCOVERY.tsv	482673	2026-08-05T11:45:29Z	4f453b83a2ffb62fd0f7e4c1172fa7f4ba73800cc9edc6ee2ba04e9ce349027e
03_DISCOVERY/SERVICE_DISCOVERY.tsv	506772	2026-08-05T11:45:28Z	a1750b40757d5d1f0649cfcb7e86a2ad49e518334c7eef5e11ce785e84649e25
03_DISCOVERY/TECHNOLOGY_ALIGNMENT.tsv	11949	2026-08-05T11:45:30Z	1138958f8f51dc98f3a34b05a1d1140905a11b582ec61c8b2d2e5ae38e9f03a4
03_DISCOVERY/UI_COMPONENT_INVENTORY.tsv	11779	2026-08-05T11:45:30Z	ff6ac590402d64e0ef436fb6e30a2ad8aa18e866839c1c25b4924baa6ce7b3e0
03_DISCOVERY/UI_EXPOSURE_DISCOVERY.tsv	500215	2026-08-05T11:45:29Z	ca4d44d84b3bc8961859108d89c1b6c6c4b9c18f6fd590f83c0d172c9b82078f
03_DISCOVERY/UI_ROUTE_INVENTORY.tsv	90746	2026-08-05T11:45:30Z	ea47f84bf35645359449a44d43f351449000b7e3d0330c43ae468ae3f7ae3e82
04_REFERENCE_REPORT/REFERENCE_REPORT_ANALYSIS.md	112	2026-08-05T11:45:16Z	09012ed41ab4795681aa224b133600ecad676d1f181d2e938ca183f319ea9e8e
04_REFERENCE_REPORT/REFERENCE_REPORT_ANALYSIS.tsv	141	2026-08-05T11:45:16Z	c3176fa5f88191ffc68ec8d96f972019e1e8842adf3dcd0ae1c05963fe57ab26
04_REFERENCE_REPORT/REFERENCE_REPORT_STATUS.tsv	150	2026-08-05T11:45:16Z	9396dfd65d7118bf00c65dcd49be28249ecf9cec9a66acc22993b8852209ca2a
05_SECURITY/ENV_VARIABLE_NAMES.tsv	12451	2026-08-05T11:45:16Z	b51d625c3a86aa2d9b770dd3110634f60d575ef33b55cb6e77d6019fab03ba4c
06_REPORTS/INPUT_VERIFICATION.md	511	2026-08-05T11:45:16Z	149681778f2818192df7c94625fc481094b67c4a46aec3f9355b6f1dce7f0a84
06_REPORTS/NDSP_CURRENT_REALITY_AUDIT_READ_ONLY.md	1029	2026-08-05T11:45:30Z	b84f00b7eda8f5e5a15d8dff2f31e1bcfd9828c19aaf781772ed01d366349ef3
README.md	1029	2026-08-05T11:45:30Z	b84f00b7eda8f5e5a15d8dff2f31e1bcfd9828c19aaf781772ed01d366349ef3
discovery.log	642	2026-08-05T11:45:30Z	1107188f3731f1d1aca1f8c885a163e8ca7c3d857b89c2a08d7ced3fc19eb943
